name,title,activity_period,notable_deeds
唐生明,伪湖南省政府主席兼保安司令,1940-1945,原国民党将领，1940年投靠汪伪政权，任伪湖南省政府主席、伪保安司令等职，在湖南地区协助日军维持占领秩序，推行伪化统治。
黄自强,伪湖南省政府委员、伪长沙市市长,1944-1945,长沙沦陷后出任伪长沙市市长，协助日军管理城市，推行保甲制度，为日军征发物资、劳工。
陈焕章,伪郴县维持会会长,1944-1945,1944年日军侵占郴县后，出面组织伪维持会，为日军筹集粮秣、拉夫，协助日军维持地方秩序。
李佐卿,伪郴县保安团团长,1944-1945,郴县沦陷期间投靠日军，组建伪保安团，配合日军扫荡抗日游击队，镇压当地民众。
刘伯谦,伪嘉禾县维持会会长,1944-1945,嘉禾县沦陷后组织伪维持会，为日军征粮派款，协助日军建立伪政权。
王德安,伪嘉禾县保安队队长,1944-1945,投靠日军后任伪保安队队长，率部配合日军清乡，搜捕抗日人士。
周佛海,伪行政院副院长、伪财政部长,1940-1945,汪伪政权核心人物，其伪化政策覆盖湖南，间接影响郴州、嘉禾地区伪政权运作。
李士群,伪特工总部主任、伪江苏省主席,1939-1943,汪伪特务头子，其特务网络延伸至湖南，在郴州、嘉禾等地发展伪特工，镇压抗日力量。
张辉瓒,伪湖南清乡督办,1941-1945,协助日军在湖南推行清乡运动，在郴州、嘉禾一带组织伪保甲，搜捕抗日分子。
赵恒惕,伪湖南省政府顾问,1944-1945,湖南沦陷后出任伪省政府顾问，为日军出谋划策，协助推行伪化教育。
