name,title,activity_period,notable_deeds
陈群,伪福建省政府主席、伪南京国民政府内政部部长,1938-1945,福建长汀人，早年投靠日本，参与组织伪政权。1938年后任伪中华民国维新政府内政部部长，后任伪南京国民政府内政部部长、伪福建省政府主席，协助日军在福建推行殖民统治与清乡。
林赤民,伪福建省政府委员、伪厦门特别市市长,1938-1945,福建人，抗战期间投靠日军，历任伪厦门特别市市长、伪福建省政府委员，在厦门及闽南地区为日军搜集物资、推行伪化教育、协助维持治安。
李思贤,伪厦门维持会会长、伪厦门特别市市长,1938-1945,厦门沦陷后组织伪厦门维持会，后任伪厦门特别市市长，协助日军管理厦门，镇压抗日活动，为日军筹粮筹款。
黄大伟,伪闽粤边区绥靖军总司令,1939-1945,广东人，抗战期间投靠日军，组织伪军活动于闽粤边区，包括福建南部及三明周边地区，配合日军扫荡抗日武装。
张逸舟,伪福建和平救国军总司令,1939-1945,福建沿海人，组织伪福建和平救国军，活动于福建沿海及闽中地区，包括三明东部邻近区域，为日军搜集情报、封锁沿海、袭击抗日游击队。
王永泉,伪福建自治军司令,1938-1940,福建人，抗战初期投靠日军，在福建内地组织伪自治军，活动范围涉及闽中、闽西北，包括三明一带，协助日军维持占领区秩序。
陈维远,伪永安维持会会长,1940-1945,永安当地士绅，抗战期间投靠日军，组织伪永安维持会，协助日军在永安及周边地区征粮、派款、维持治安，镇压抗日群众。
林文龙,伪三明维持会会长,1940-1945,三明本地人，抗战期间投靠日军，组织伪三明维持会，为日军搜集情报、征调民夫、协助伪化统治。
刘启明,伪福建省政府警务处处长,1940-1945,福建人，在伪福建省政府任职，负责伪警察系统，协助日军在福建各地包括三明地区实施保甲连坐、搜捕抗日人士。
陈则民,伪福建省政府委员、伪福州市市长,1940-1945,福建人，抗战期间投靠日军，历任伪福州市市长、伪福建省政府委员，在福州及闽中地区推行伪化教育、经济统制，影响波及三明。
