name,title,activity_period,notable_deeds
陈群,伪福建省政府主席、伪南京国民政府内政部部长,1938-1945,福建长汀人，早年投靠日伪，1938年后任伪中华民国维新政府内政部部长，后任伪南京国民政府内政部部长、伪福建省政府主席，参与日伪在福建的统治与诱降活动。
萨福畴,伪福建省政府委员、伪福州市政筹备处处长,1938-1944,福建福州人，抗战期间附逆，任伪福建省政府委员等职，协助日军维持福州及周边地区伪政权，参与征粮、拉夫与宣传亲日活动。
林赤民,伪福建省政府委员、伪厦门特别市市长,1938-1945,福建厦门人，厦门沦陷后投靠日军，历任伪厦门特别市市长、伪福建省政府委员，推行日语教育、配给制度，协助日军镇压抗日活动。
李思贤,伪厦门特别市市长,1938-1945,福建厦门人，厦门沦陷后任伪厦门维持会会长、伪厦门特别市市长，为日军筹款筹粮，推行奴化教育，搜捕抗日人士。
黄大伟,伪闽粤边区绥靖军总司令,1939-1943,广东人，抗战期间投靠日军，组织伪军活动于闽粤边区，曾率部配合日军进攻福建南部及闽西地区，骚扰抗日根据地。
张逸舟,伪福建和平救国军总司令,1940-1945,福建沿海人，抗战期间组织伪福建和平救国军，活动于闽江口及南平、建阳周边地区，配合日军扫荡、封锁抗日游击区。
王永泉,伪闽北维持会会长,1941-1945,福建南平人，抗战期间在南平、建阳一带组织伪维持会，协助日军征粮、拉夫，维持沦陷区秩序，参与诱降地方抗日武装。
陈国华,伪建阳县维持会会长,1941-1945,福建建阳人，建阳沦陷期间任伪维持会会长，为日军筹办粮秣、夫役，协助推行保甲连坐，镇压当地抗日活动。
林文忠,伪南平县维持会副会长,1941-1945,福建南平人，南平沦陷期间任伪维持会副会长，协助日军管理地方，征发民夫物资，参与奴化宣传。
郑祖荫,伪福建省政府参议、伪福州维持会会长,1941-1944,福建福州人，抗战期间附逆，任伪福州维持会会长、伪福建省政府参议，协助日军维持福州治安，推行配给制度。
陈鸿钧,伪闽北绥靖军司令,1942-1945,福建南平人，抗战后期组织伪闽北绥靖军，活动于南平、建阳、建瓯一带，配合日军扫荡闽北抗日游击队。
吴友三,伪建瓯县维持会会长,1941-1945,福建建瓯人，建瓯沦陷期间任伪维持会会长，为日军征粮征夫，协助镇压抗日分子，推行亲日教育。
