name,title,activity_period,notable_deeds
陈群,伪福建省政府主席、伪南京国民政府内政部部长,1938-1945,福建长汀人，早年即投靠日伪，1938年后参与伪维新政府、汪伪政权，历任伪内政部部长、伪福建省政府主席等职，在福建推行伪化统治，为日军搜刮物资、镇压抗日力量。
林赤民,伪福建省政府委员、伪厦门特别市市长,1938-1945,福建人，抗战期间投靠日军，在厦门沦陷区任伪厦门特别市市长、伪福建省政府委员，协助日军维持厦门及闽南部分地区治安，推行奴化教育。
李思贤,伪厦门维持会会长、伪厦门特别市市长,1938-1945,厦门沦陷后组织伪厦门维持会并任会长，后任伪厦门特别市市长，为日军筹粮筹款、征发劳工，镇压厦门抗日活动。
黄大伟,伪闽粤边区绥靖军总司令,1939-1944,广东人，抗战期间投靠日军，任伪闽粤边区绥靖军总司令，率伪军活动于闽粤边区，配合日军进攻抗日根据地，在福建南部及闽西一带进行清乡、掠夺。
张逸舟,伪福建和平救国军总司令,1939-1945,福建沿海人，抗战期间组织伪福建和平救国军并任总司令，盘踞闽海岛屿，配合日军封锁福建沿海，劫掠商船、残害抗日军民。
王福民,伪南平维持会会长,1940-1945,南平地区人，抗战期间在南平组织伪维持会并任会长，协助日军及伪政权维持地方秩序，征发民夫、物资，推行保甲连坐。
陈友仁,伪松溪县维持会会长,1941-1945,松溪县人，抗战期间在松溪组织伪维持会并任会长，为日军及伪政权筹粮筹款，协助登记户口、推行奴化宣传，镇压当地抗日活动。
叶文彬,伪建瓯县维持会会长,1941-1945,建瓯人，抗战期间在建瓯组织伪维持会并任会长，协助日军维持闽北部分地区治安，征发劳工、物资，配合伪政权推行保甲制度。
刘启明,伪浦城县维持会会长,1942-1945,浦城人，抗战期间在浦城组织伪维持会并任会长，为日军筹粮、征夫，协助伪政权控制闽浙赣边区部分乡镇。
吴友三,伪政和县维持会会长,1942-1945,政和人，抗战期间在政和组织伪维持会并任会长，协助日军及伪政权维持地方统治，征发物资、劳工，推行奴化教育。
