name,title,activity_period,notable_deeds
林赤民,伪厦门特别市政府市长,1938-1945,福建籍汉奸，厦门沦陷后投靠日军，出任伪厦门特别市政府市长，协助日军维持厦门及闽南沿海占领区统治，推行伪化政策。
李思贤,伪厦门特别市政府市长、伪厦门维持会会长,1938-1945,厦门沦陷后组织伪维持会，后任伪厦门特别市政府市长，为日军在闽南的殖民统治服务，参与征粮、征工和镇压抗日活动。
金馥庄,伪厦门特别市政府官员,1938-1945,在伪厦门政权中任职，协助日军推行伪化教育与社会控制，属于福建沿海占领区附逆人员。
陈群,伪南京国民政府委员、伪福建省相关伪职背景人员,1938-1945,福建籍汉奸政客，早年即投靠日伪，在汪伪政权中任要职，对福建沦陷区伪政权建设有影响。
王永泉,伪福建地区地方维持会头目,1938-1945,在福建沿海部分地区组织维持会，协助日军维持地方秩序、征发物资，属于地方伪政权附逆者。
陈则民,伪闽南地区维持会/伪政权人员,1938-1945,在闽南沦陷区参与伪维持会活动，协助日军推行保甲与征粮，压迫当地民众。
黄大伟,伪军头目,1938-1945,在福建沿海参与伪军组织，配合日军对沿海地区进行扫荡和封锁，镇压抗日力量。
张逸舟,伪福建沿海伪军头目,1938-1945,福建沿海伪军势力之一，投靠日军后参与海上封锁、走私和镇压抗日武装。
林义和,伪闽东地区维持会人员,1938-1945,在闽东沿海地区参与伪维持会，协助日军控制地方，征发粮食与劳工。
陈德辉,伪宁德地区维持会头目,1938-1945,在宁德沿海地区组织伪维持会，为日军提供情报、物资和劳工，协助维持占领秩序。
刘子宽,伪闽东伪警察头目,1938-1945,在闽东沦陷区担任伪警察职务，协助日军搜捕抗日人员，推行保甲连坐。
郑德明,伪福宁府地区维持会人员,1938-1945,在福宁府（今宁德一带）参与伪维持会活动，协助日军征粮征工，压迫当地百姓。
阮朝兴,伪闽东地方保甲长,1938-1945,在闽东乡村担任伪保甲长，协助日军和伪政权控制基层，催征捐税、监视民众。
陈永祥,伪福建地区经济附逆者,1938-1945,在福建沦陷区与日军合作经营物资统制，协助掠夺粮食、木材等资源，属于经济附逆人员。
林文忠,伪福建地区教育附逆者,1938-1945,在福建沦陷区参与伪化教育，推行日语教学和亲日宣传，毒化青年思想。
陈伯诚,伪闽东文化宣传人员,1938-1945,在闽东地区为日伪进行文化宣传，散布“大东亚共荣”言论，协助日军进行思想控制。
李国华,伪福建沿海走私与物资统制人员,1938-1945,勾结日军在福建沿海进行走私和物资统制，牟取暴利并协助日军封锁抗日根据地。
王天赐,伪闽东伪军小头目,1938-1945,在闽东地区组织伪军，配合日军扫荡抗日游击区，抓捕抗日群众。
张子明,伪宁德地区伪政权文书,1938-1945,在宁德伪政权中担任文书，协助日军和伪政权进行户籍控制、征发物资。
陈阿五,伪柘荣地区维持会人员,1938-1945,在柘荣一带参与伪维持会活动，为日军带路、征粮，协助维持地方伪秩序。
