name,title,activity_period,notable_deeds
黄大伟,伪闽粤边区绥靖军总司令,1938-1940年,抗战初期在福建沿海及闽南一带活动，组织伪军配合日军进攻，后因内部矛盾被日军处决。
陈国辉,伪福建自治军总司令,1937-1938年,福建地方武装头目，抗战初期一度投靠日军，在闽南漳州、泉州一带活动，后被国民政府处决。
林知渊,伪福建省政府委员、伪厦门特别市市长,1938-1945年,福建人，抗战期间投靠汪伪政权，在厦门、漳州一带协助日军推行伪化统治。
李思贤,伪厦门维持会会长、伪厦门特别市市长,1938-1945年,厦门沦陷后组织维持会，后任伪市长，配合日军在闽南地区进行经济掠夺和奴化教育。
陈长福,伪厦门商会会长、伪维持会委员,1938-1945年,厦门商界人物，抗战期间附逆，协助日军控制闽南物资流通。
黄仲训,伪厦门维持会委员,1938-1940年,厦门富商，沦陷后参与维持会，为日军筹款筹粮。
张鸣,伪漳州维持会会长,1938-1940年,漳州沦陷期间组织维持会，协助日军维持地方秩序、征发劳役。
王少平,伪平和县维持会会长,1939-1941年,平和县地方士绅，日军侵扰闽南时出面组织维持会，为日军带路、征粮。
林少猫,伪漳浦县维持会会长,1939-1941年,漳浦县附逆分子，组织维持会配合日军在漳州沿海地区的扫荡。
陈明,伪诏安县维持会会长,1939-1941年,诏安沦陷期间组织维持会，协助日军控制闽粤边界地区。
黄奕住,伪厦门特别市商会副会长,1938-1945年,厦门商人，抗战期间与日伪合作，控制闽南部分贸易。
许友超,伪厦门维持会委员,1938-1940年,厦门地方人物，参与维持会活动，协助日军管理厦门及闽南地区。
陈伯达,伪福建省政府参议,1940-1945年,福建附逆文人，在汪伪政权中任职，为日军在福建的统治进行宣传。
林柏生,伪国民政府宣传部长、伪安徽省长,1938-1945年,福建籍汪伪高官，虽主要在南京活动，但与福建伪政权有联系，推动闽南地区奴化宣传。
陈群,伪福建省政府主席,1940-1943年,汪伪政权任命为伪福建省主席，在福州、厦门等地推行伪化统治，影响闽南地区。
林熊祥,伪福建省政府委员,1940-1945年,福建附逆人士，在伪福建省政权中任职，协助日军在闽南征粮征税。
陈觉民,伪厦门警察局局长,1938-1945年,厦门沦陷后任伪警察局长，镇压抗日活动，配合日军在闽南的统治。
黄天爵,伪厦门特别市教育局长,1938-1945年,在厦门推行奴化教育，编写亲日教材，影响闽南地区教育。
李择一,伪福建省政府财政厅长,1940-1945年,协助日军在福建沦陷区掠夺经济资源，发行伪币。
陈式锐,伪漳州维持会副会长,1938-1940年,漳州附逆分子，协助维持会征发民夫、物资供给日军。
