name,title,activity_period,notable_deeds
陈群,伪福建省政府主席、伪南京国民政府内政部部长,1938-1945,福建籍汉奸，早年投靠日伪，历任伪中华民国维新政府内政部部长、伪南京国民政府内政部部长、伪福建省政府主席等职，协助日军在福建推行殖民统治。
萨福畴,伪福建省政府委员、伪福州市政筹备处处长,1938-1945,福州人，抗战期间附逆，在伪福建省政权中任职，参与日伪对福州地区的统治与物资征调。
林赤民,伪莆田县维持会会长,1939-1941,莆田本地士绅，日军侵占莆田沿海期间出面组织维持会，为日军筹粮、拉夫、维持地方秩序。
陈樵,伪莆田县知事,1940-1942,在日伪控制莆田期间出任伪县知事，执行日伪政令，协助征收赋税、登记户口。
黄国璋,伪闽侯县维持会副会长,1941-1943,福州周边地区附逆分子，在伪闽侯县维持会中任职，协助日军管理地方事务。
林寿山,伪厦门特别市维持会会长,1938-1940,厦门沦陷后组织维持会，为日军提供情报与物资，协助建立伪政权。
李思贤,伪厦门特别市市长,1939-1945,在厦门伪政权中历任要职，配合日军实施经济统制与奴化教育。
王仲甫,伪福建省政府警务处处长,1940-1944,负责伪福建警察系统，参与镇压抗日活动、搜捕抗日人员。
陈维周,伪莆田县警察局局长,1941-1943,在莆田伪警察系统中任职，带领伪警配合日军扫荡沿海抗日据点。
林文庆,伪厦门大学维持会委员,1938-1940,厦门沦陷期间参与伪教育维持组织，协助日军控制厦门大学校产与师生。
张鸣岐,伪福建省政府委员兼伪财政厅厅长,1939-1945,在伪福建省政权中主管财政，为日伪筹措军费、推行伪币。
陈培锟,伪福州维持会会长,1941,福州第一次沦陷期间出任维持会会长，协助日军维持占领秩序。
