name,title,activity_period,notable_deeds
张景惠,伪满洲国国务总理大臣,1931-1945,曾任奉天省长，九一八事变后投敌，任伪满洲国军政部总长、国务总理，推行奴化政策，协助日本统治东北。
臧式毅,伪满洲国奉天省省长,1931-1945,九一八事变后被日军俘获，变节投敌，任伪奉天省省长，镇压抗日活动，为日军征粮派夫。
袁金铠,伪满洲国参议府议长,1931-1935,曾任奉天省咨议局副议长，投日后任伪参议府议长，参与伪满建国及对日合作。
于冲汉,伪满洲国监察院院长,1931-1932,曾任张作霖幕僚，九一八后投日，任伪监察院院长，协助日本控制东北金融。
赵欣伯,伪满洲国立法院院长,1931-1945,曾任奉天高等法院院长，投日后任伪立法院院长，起草伪满法律，为日本殖民统治提供法理依据。
荣厚,伪满洲国奉天市市长,1931-1937,投日后任伪奉天市市长，推行日伪市政管理，镇压反满抗日人士。
王庆璋,伪满洲国大连市市长,1931-1945,曾任大连商会会长，投日后任伪大连市市长，协助日本控制大连港及殖民经济。
张本政,伪满洲国大连商会会长、关东州厅参事,1931-1945,大连巨商，长期为日本关东军提供物资和情报，任伪商会会长，协助日本掠夺大连资源。
刘雨田,伪满洲国旅顺市市长,1931-1945,旅顺地方士绅，投日后任伪旅顺市市长，配合日军镇压旅顺地区抗日武装。
金纯,伪满洲国奉天省警务厅厅长,1931-1945,投日后任伪奉天省警务厅长，组织警察协助日军搜捕抗日志士，制造多起血案。
于芷山,伪满洲国奉天省警备军司令,1931-1945,原东北军将领，投日后任伪警备军司令，率伪军围剿抗日游击队。
王殿忠,伪满洲国奉天省保安局局长,1931-1945,投日后任伪保安局长，协助日军建立保甲制度，残害抗日群众。
张海鹏,伪满洲国热河省省长（曾驻辽宁）,1931-1945,原奉系军阀，投日后任伪省长，在辽宁西部镇压义勇军，配合日军进攻热河。
李际春,伪满洲国奉天省教育厅厅长,1931-1945,投日后任伪教育厅长，推行奴化教育，强制学校教授日语和伪满课程。
阮振铎,伪满洲国奉天省实业厅厅长,1931-1945,投日后任伪实业厅长，协助日本掠夺辽宁矿产、粮食等战略物资。
丁鉴修,伪满洲国交通部大臣（辽宁籍）,1931-1945,辽宁人，投日后任伪交通大臣，管理东北铁路，为日军军事运输服务。
张燕卿,伪满洲国外交部大臣（辽宁籍）,1931-1945,辽宁人，投日后任伪外交大臣，代表伪满与日本签订不平等条约。
韩云阶,伪满洲国经济部大臣（辽宁籍）,1931-1945,辽宁人，投日后任伪经济大臣，协助日本控制东北金融和产业。
孙其昌,伪满洲国财政部大臣（辽宁籍）,1931-1945,辽宁人，投日后任伪财政大臣，为伪满发行公债，搜刮民财。
赵鹏第,伪满洲国司法部大臣（辽宁籍）,1931-1945,辽宁人，投日后任伪司法大臣，制定镇压抗日活动的法令。
王静修,伪满洲国军政部次长（辽宁籍）,1931-1945,辽宁人，投日后任伪军政部次长，参与组建伪军，协助日军作战。
邢士廉,伪满洲国奉天省省长（后期）,1937-1945,原东北军将领，投日后任伪奉天省省长，推行日伪经济统制政策。
王兹栋,伪满洲国大连警察署署长,1931-1945,投日后任大连伪警察署长，残酷镇压大连地区抗日地下组织。
张宗援,伪满洲国旅顺要塞司令,1931-1945,投日后任旅顺伪要塞司令，协助日军防守旅顺军港，迫害当地居民。
刘德权,伪满洲国奉天省高等法院院长,1931-1945,投日后任伪高等法院院长，以“反满抗日”罪名判处大量爱国人士。
王贯一,伪满洲国大连市副市长,1931-1945,投日后任伪大连副市长，协助日本管理大连租界，参与经济掠夺。
陈承修,伪满洲国旅顺中学校长,1931-1945,投日后任旅顺伪中学校长，强制推行奴化教育，迫害爱国师生。
赵欣余,伪满洲国奉天省协和会会长,1931-1945,投日后任伪协和会奉天省会长，协助日本进行思想宣传和特务活动。
张乐山,伪满洲国大连港务局局长,1931-1945,投日后任伪大连港务局长，管理港口，为日军运输军需物资。
李绍庚,伪满洲国奉天省警察厅厅长（后期）,1937-1945,投日后任伪奉天省警察厅长，参与抓捕抗日地下党员，破坏抗日组织。
