name,title,activity_period,notable_deeds
于芷山,伪奉天警备司令、伪满洲国军政部大臣,1931-1945,九一八事变后投敌，组织伪军配合日军进攻辽宁东部抗日武装，长期在抚顺、本溪、通化一带镇压抗日力量，后任伪满军政部大臣。
张景惠,伪满洲国参议府议长、伪国务总理大臣,1931-1945,奉系旧军阀，九一八事变后公开投敌，历任伪满要职，参与推行殖民统治，其势力与影响覆盖辽宁各地，包括抚顺地区。
臧式毅,伪奉天省省长、伪满洲国民政部大臣,1931-1945,原辽宁省主席，被俘后投敌，出任伪奉天省省长，协助日军维持辽宁沦陷区统治，抚顺在其伪省政权管辖范围内。
赵欣伯,伪奉天市市长、伪满洲国立法委员,1931-1945,九一八事变后积极附逆，参与伪满建国活动，曾任伪奉天市市长，为日军在辽宁的殖民统治效力。
李寿山,伪安东省警备司令、伪军头目,1931-1945,原东北军军官，投敌后组织伪军，在辽宁东部包括抚顺周边地区配合日军围剿抗日武装。
王殿忠,伪奉天省警务厅厅长、伪警察头目,1931-1945,在伪奉天省警务系统任职，参与镇压辽宁地区抗日活动，抚顺地区伪警察系统受其节制或影响。
金荣桂,伪抚顺县县长,1930年代,伪满时期出任抚顺县县长，协助日军管理抚顺煤矿及地方事务，推行保甲连坐，镇压抗日民众。
刘毅,伪抚顺炭矿株式会社劳务系头目,1930年代-1940年代,在抚顺煤矿为日军和伪满管理中国劳工，参与强制劳动与镇压矿工反抗，属经济领域附逆者。
徐绍卿,伪抚顺县维持会会长,1931-1932,九一八事变后组织抚顺地方维持会，迎接日军占领，协助建立伪政权，维持地方殖民秩序。
张子文,伪抚顺县警务局局长,1930年代,在抚顺地区担任伪警务头目，指挥伪警察配合日军搜捕抗日人员，推行保甲制度。
韩云阶,伪满洲国经济部大臣、伪奉天省省长,1931-1945,辽宁籍附逆者，历任伪满经济部大臣、伪奉天省省长，参与掠夺辽宁资源，抚顺煤矿为其经济统制范围。
阮振铎,伪满洲国文教部大臣、伪奉天省省长,1931-1945,投敌后历任伪满文教部大臣、伪奉天省省长，推行奴化教育，其管辖范围包括抚顺地区。
于静远,伪满洲国协和会中央本部委员、伪奉天省次长,1930年代-1945,在伪满协和会及伪奉天省任职，参与思想统制与地方控制，影响覆盖抚顺。
王庆璋,伪抚顺县协和会会长,1930年代-1940年代,在抚顺地区负责伪协和会工作，配合日军进行宣传、劳役征集和民众控制。
李庆善,伪抚顺炭矿警备队队长,1930年代-1940年代,统领抚顺煤矿伪警备队，镇压矿工反抗，协助日军维护矿区殖民统治。
