name,title,activity_period,notable_deeds
张海鹏,伪满热河省省长,1933-1945,原东北军将领，1933年投敌，任伪热河省省长，协助日军镇压抗日武装，推行殖民统治。
丁超,伪满热河省警务厅长,1933-1945,原东北军军官，投日后任伪警务厅长，参与围剿抗日游击队，抓捕抗日志士。
赵欣伯,伪满热河省民政厅长,1933-1937,曾任伪满热河省民政厅长，推行奴化教育，协助日伪征粮派款。
王永江,伪满朝阳县县长,1933-1938,投日后任伪朝阳县县长，强征民夫修建警备道路，镇压当地抗日义勇军。
李寿山,伪满朝阳地区保安队队长,1934-1945,组织汉奸保安队，配合日军扫荡朝阳北部山区，杀害抗日军民多人。
刘振东,伪满建平县县长,1935-1943,任伪建平县县长期间，强制推行“粮谷出荷”，导致百姓饿殍遍野，并告密逮捕地下抗日人员。
陈国华,伪满凌源县警务科长,1936-1945,亲自率警队袭击抗日联络点，刑讯逼供抗日群众，致死多人。
孙殿英,伪满热河省参事（投敌后）,1933-1935,原军阀，一度投靠日伪任参事，后反正，但期间曾为日军提供情报。
张景惠,伪满国务总理大臣（涉及热河地区）,1935-1945,虽为伪满中央高官，但多次到朝阳地区视察，推动“治安肃正”计划，屠杀抗日武装。
于芷山,伪满热河省军管区司令,1933-1945,原东北军旅长，投日后任伪军司令，指挥伪军参与“大讨伐”，烧毁村庄数十个。
