name,title,activity_period,notable_deeds
张景惠,伪满洲国国务总理大臣,1932-1945,原奉系将领，九一八事变后投敌，任伪满最高行政长官，协助日本殖民统治东北，镇压抗日力量。
臧式毅,伪满洲国奉天省省长,1931-1935,原辽宁省政府主席，沈阳沦陷后变节投日，出任伪奉天省长，推行日伪奴化政策。
于冲汉,伪满洲国监察院院长,1932-1935,原奉系官僚，参与伪满建国，曾任伪奉天省省长，协助日军控制辽宁地区。
袁金铠,伪满洲国参议府议长,1932-1945,原奉天省议会议长，积极投靠日本，参与伪满政权建设，在沈阳地区活动。
赵欣伯,伪满洲国立法院院长,1932-1945,原奉系法律顾问，沈阳人，投日后任伪满要职，为日本侵略者提供法律与舆论支持。
荣厚,伪满洲国奉天市市长,1932-1937,原沈阳地方官员，沈阳沦陷后出任伪市长，协助日军维持治安、推行保甲制度。
王庆璋,伪满洲国奉天省警务厅厅长,1932-1945,原奉系警察头目，投日后负责伪满警察系统，在沈阳及沈北地区残酷镇压抗日活动。
于芷山,伪满洲国奉天省警备司令,1932-1945,原东北军军官，叛变投日，率伪军驻防沈阳，多次围剿抗日义勇军。
张海鹏,伪满洲国热河省省长（原辽宁籍）,1933-1945,原奉系军阀，在辽宁北部及沈北地区活动，投日后任伪省长，参与对抗日武装的军事镇压。
李际春,伪满洲国奉天省实业厅厅长,1932-1945,原沈阳商人，投日协助日伪经济掠夺，在沈北地区强征土地和物资。
金荣桂,伪满洲国奉天省教育厅厅长,1932-1945,原辽宁教育界人士，投日后推行奴化教育，在沈阳各学校强制灌输亲日思想。
王兹栋,伪满洲国奉天市警察局局长,1932-1945,原沈阳警察，投日后任伪警察局长，在沈北地区抓捕抗日志士，制造多起惨案。
佟衡,伪满洲国奉天省协和会会长,1932-1945,原沈阳士绅，投日后组织协和会，在沈北农村进行思想宣传，瓦解民众抗日意识。
徐景明,伪满洲国沈北地区维持会会长,1931-1935,沈北地方地主，日军占领后主动组织维持会，为日军提供粮食和情报，协助清乡。
刘德权,伪满洲国沈北保安队队长,1932-1945,原沈北土匪头目，被日军收编，率保安队围剿抗日游击队，残害百姓。
赵鹏第,伪满洲国奉天省高等法院院长,1932-1945,原沈阳司法官员，投日后审判抗日人士，判处大量爱国者死刑或重刑。
王静轩,伪满洲国奉天省民政厅厅长,1932-1945,原辽宁民政官员，投日后负责户口清查和保甲连坐，在沈北地区强化殖民统治。
张燕卿,伪满洲国外交部大臣（原辽宁籍）,1932-1945,原奉系外交人员，投日后任伪满外交官，在沈阳活动，为日本侵略政策辩护。
韩云阶,伪满洲国奉天省财政厅厅长,1932-1945,原辽宁财政官员，投日后协助日本掠夺东北资源，在沈北地区征收重税。
马占山（注：此人为抗日将领，非汉奸，但历史资料中曾短暂动摇，为准确起见不列入）,,,
