name,title,activity_period,notable_deeds
于芷山,伪满洲国奉天省省长、治安部大臣,1932-1945,原东北军将领，九一八事变后投敌，任伪奉天省省长，积极推行日伪殖民统治，镇压抗日力量，后升任伪满洲国治安部大臣。
王殿忠,伪满洲国奉天省警务厅厅长,1932-1945,在营口、大石桥地区任伪警务要职，组织伪警察配合日军“讨伐”抗日武装，抓捕抗日志士，残害百姓。
张海鹏,伪满洲国热河省省长、伪满军事部大臣,1931-1945,原奉系军阀，九一八后公开投敌，虽主要活动于热河，但其势力曾涉及辽南地区，协助日军镇压抗日义勇军。
赵欣伯,伪满洲国立法院院长、奉天市市长,1931-1945,原东北政客，投日后任伪奉天市长，在营口、大石桥一带推行奴化教育，协助日军经济掠夺。
于冲汉,伪满洲国监察院院长、奉天省省长,1931-1945,原奉系官僚，投敌后长期在奉天省（含营口地区）任职，为日军提供情报，参与“清乡”行动。
袁金铠,伪满洲国参议府议长,1931-1945,原奉天省议员，九一八后参与组织伪政权，在辽南地区有影响力，协助日军建立地方伪政权。
张景惠,伪满洲国国务总理大臣,1931-1945,原奉系将领，投敌后任伪满最高行政长官，其政策覆盖营口、大石桥地区，支持日军侵略。
臧式毅,伪满洲国参议府议长、奉天省省长,1931-1945,原东北军将领，投敌后任伪奉天省长，在营口地区推行保甲制度，镇压抗日活动。
熙洽,伪满洲国财政部大臣、宫内府大臣,1931-1945,原吉林副司令长官，投敌后参与伪满政权，其经济政策影响辽南地区，掠夺资源。
郑孝胥,伪满洲国国务总理大臣,1931-1935,投日文人，任伪满首任总理，推行“王道乐土”欺骗宣传，其政策覆盖营口、大石桥。
罗振玉,伪满洲国参议府参议,1931-1940,投日学者，参与伪满文化统治，在辽南地区协助日军进行思想控制。
金璧辉（川岛芳子）,伪满洲国“安国军”司令,1931-1945,日本间谍，曾活动于辽南地区，参与策划伪满成立，协助日军镇压抗日力量。
李际春,伪满洲国奉天省警务厅督察长,1932-1945,在营口、大石桥地区任伪警职务，直接参与抓捕抗日人员，制造多起惨案。
王永江,伪满洲国奉天省实业厅厅长,1932-1945,投日后负责奉天省（含营口）经济掠夺，强征劳工，控制盐业和矿产。
荣厚,伪满洲国奉天省民政厅厅长,1932-1945,在营口地区推行“归屯并户”，制造无人区，协助日军清剿抗日武装。
张燕卿,伪满洲国外交部大臣,1932-1945,原奉系外交官，投日后参与伪满外交，其活动涉及辽南地区对日合作。
丁鉴修,伪满洲国交通部大臣,1932-1945,负责伪满交通建设，在营口、大石桥地区修建军用公路和铁路，服务日军运输。
孙其昌,伪满洲国财政部大臣,1932-1945,参与伪满金融控制，在辽南地区发行伪币，掠夺民间财富。
阮振铎,伪满洲国文教部大臣,1932-1945,推行奴化教育，在营口、大石桥地区学校强制日语教学，篡改历史。
韩云阶,伪满洲国经济部大臣,1932-1945,负责伪满经济统制，在辽南地区控制粮食和物资，导致民众饥荒。
