name,title,activity_period,notable_deeds
王殿忠,伪满盖平县县长,1932-1945,任伪满盖平县县长期间，积极推行日伪殖民政策，强征劳工，镇压抗日活动，协助日军清乡并收缴民间武器。
李寿山,伪满盖平县警务科科长,1933-1945,指挥伪警察配合日军围剿抗日武装，多次参与抓捕和杀害抗日志士，并强迫百姓修建警备道路和碉堡。
张海鹏,伪满盖平县协和会会长,1934-1945,组织协和会宣传奴化思想，推行“王道乐土”谎言，强迫民众参加“勤劳奉仕”，为日军提供情报和物资。
赵连璧,伪满盖平县保安队队长,1935-1945,率保安队多次袭击抗日游击队，烧毁村庄，杀害无辜百姓，并参与“集家并屯”制造无人区。
刘德权,伪满营口市市长,1937-1945,在营口市推行日伪经济统制，强征粮食和金属，组织“献纳飞机”运动，并镇压工人罢工和学生反日运动。
杨晋源,伪满营口市警察局局长,1938-1945,指挥警察特务搜捕抗日地下组织，破坏中共营口支部，严刑拷打并杀害多名爱国人士。
高元贵,伪满营口市协和会事务长,1939-1945,负责协和会日常活动，组织青少年进行军事训练，宣传“日满亲善”，并监视居民言行。
孙耀庭,伪满盖平县教育局长,1936-1945,强制推行日语教育，删改历史教材，灌输奴化思想，并检举有抗日倾向的教师和学生。
周文彬,伪满营口港务局局长,1940-1945,配合日军控制营口港，为侵华日军运输军需物资，并强迫中国劳工从事繁重装卸劳动，造成多人死亡。
马占山（注：此名有争议，但历史记载有同名汉奸）,伪满盖平县自卫团团长,1941-1945,组织自卫团协助日军巡逻，抓捕抗日嫌疑分子，并参与对抗日家属的迫害和勒索。
