name,title,activity_period,notable_deeds
于芷山,伪满洲国奉天省警备司令、伪满军政部大臣,1931-1945,九一八事变后投敌，组织伪军配合日军侵占辽宁各地，长期在伪满军政系统任职，参与镇压东北抗日武装。
张海鹏,伪满洲国洮辽镇守使、伪满热河省警备司令,1931-1945,九一八事变后率先投敌，率伪军配合日军进攻辽宁、热河等地，参与镇压抗日义勇军。
于冲汉,伪满洲国监察院院长、伪满参议府参议,1931-1940,辽宁籍亲日政客，九一八事变后积极协助日军建立伪满政权，在辽宁地区为日军侵略张目。
赵欣伯,伪满洲国立法院院长、伪满奉天市市长,1931-1945,辽宁籍汉奸，参与伪满建国活动，在奉天（今沈阳）及辽宁地区推行殖民统治。
袁金铠,伪满洲国参议府参议、伪满奉天省省长,1931-1945,辽宁辽阳人，九一八事变后组织维持会，协助日军维持辽宁地方秩序，后任伪满高官。
李际春,伪满洲国奉天省警备司令、伪军头目,1931-1937,辽宁籍汉奸，九一八事变后投敌，在营口、海城一带组织伪军，配合日军镇压抗日力量。
王殿忠,伪满洲国营口警察厅厅长、伪满奉天省警务厅厅长,1932-1945,在营口地区长期担任伪警察头目，镇压抗日群众，推行保甲连坐，为日军搜集情报。
刘梦庚,伪满洲国营口县县长、伪满营口市市长,1932-1945,在营口地区任职期间，推行伪满法令，协助日军征粮征丁，压迫当地民众。
孙辅臣,伪满洲国营口维持会会长,1931-1933,九一八事变后在营口组织维持会，迎接日军进城，协助建立伪政权。
曲秉善,伪满洲国奉天省警务厅厅长、伪满营口警察局局长,1932-1945,在辽宁及营口地区担任伪警察要职，参与镇压抗日地下组织，抓捕爱国人士。
陈楚材,伪满洲国营口商工会会长,1932-1945,营口商界附逆者，为日军筹集物资，协助经济统制，压迫民族工商业。
金荣桂,伪满洲国奉天省教育厅厅长,1932-1945,在辽宁推行奴化教育，篡改教材，向学生灌输亲日思想，为殖民统治服务。
