name,title,activity_period,notable_deeds
张海鹏,伪满洲国热河省省长兼第五军管区司令,1931-1945,原东北军将领，九一八后投敌，在辽宁西部及兴城、绥中一带协助日军镇压抗日武装，参与“讨伐”义勇军，后任伪热河省省长，推行殖民统治。
于芷山,伪满洲国奉天省警备司令官、第一军管区司令,1931-1945,原东北军旅长，1932年投降日军，在辽宁地区（包括兴城、葫芦岛一带）指挥伪军围剿抗日义勇军，制造多起屠杀事件。
王殿忠,伪满洲国奉天省警务厅长,1931-1945,原东北军军官，投敌后负责辽宁地区伪警察体系，在兴城、绥中等地建立伪警察所，协助日军抓捕抗日志士，强征劳工。
李寿山,伪满洲国锦州省省长,1934-1945,原锦州地区士绅，投靠日军后任伪锦州省省长，管辖范围包括葫芦岛、兴城，推行“治安肃正”，组织伪自卫团镇压抗日活动。
赵欣伯,伪满洲国立法院院长（曾任奉天市长）,1931-1945,原奉系法律人士，九一八后积极参与伪满洲国建立，在辽宁地区协助日军建立殖民政权，参与制定镇压抗日法令，影响波及兴城等地。
袁庆濂,伪满洲国锦州省警务厅长,1932-1945,原锦州警察头目，投日后任伪锦州省警务厅长，在葫芦岛、兴城一带指挥伪警“清乡”，杀害抗日军民，掠夺物资。
张景惠,伪满洲国国务总理大臣,1931-1945,原东北军将领，九一八后投敌，虽为伪满中央高官，但其势力范围及伪军行动覆盖辽宁全境，包括兴城、葫芦岛地区，支持日军“讨伐”义勇军。
臧式毅,伪满洲国参议府议长（曾任奉天省长）,1931-1945,原奉天省长，九一八后投降，任伪奉天省长期间，在辽宁各地（含兴城）推行保甲制度，强制民众“连坐”，协助日军清剿抗日力量。
熙洽,伪满洲国财政部总长兼吉林省长,1931-1945,原吉林军参谋长，投敌后虽主政吉林，但曾参与策划对辽宁西部（包括兴城、葫芦岛）的军事“讨伐”，提供伪军支援。
金璧辉（川岛芳子）,伪满洲国“安国军”司令,1931-1945,日本间谍，曾以“安国军”名义在辽宁、热河一带活动，参与对兴城、绥中抗日义勇军的诱降和镇压，协助日军搜集情报。
张宗援（伊达顺之助）,伪满洲国“奉天地区”日籍顾问兼伪军头目,1931-1945,日本浪人，加入伪满军队，在辽宁锦州、兴城一带指挥伪军“讨伐”抗日武装，手段残忍，制造多起血案。
曹仲参,伪满洲国锦州省兴城县县长,1932-1945,原兴城地方士绅，投日后任伪兴城县县长，强征粮税，组织伪县公署配合日军“扫荡”，迫害抗日家属。
刘德权,伪满洲国锦州省绥中县县长（曾辖兴城周边）,1933-1945,投靠日军后任绥中县长，在兴城、绥中交界地带协助日军建立“无人区”，强制村民迁移，烧毁房屋。
王永清,伪满洲国锦州省警察讨伐队队长,1932-1945,原土匪头目，投日后任伪警察讨伐队长，在兴城、葫芦岛山区多次袭击抗日义勇军，杀害俘虏。
张占元,伪满洲国兴城地区自卫团团长,1933-1945,兴城本地地主，组织伪自卫团，为日军提供情报，参与抓捕抗日地下人员，强征壮丁。
李际春,伪满洲国“冀东防共自治政府”顾问（曾活动于辽西）,1935-1945,原军阀，投日后在辽西（包括兴城、葫芦岛）协助日军策反地方武装，组织伪军，破坏抗日统一战线。
赵雷,伪满洲国锦州省保安队司令,1932-1945,原东北军连长，投敌后任伪保安队司令，在兴城、葫芦岛沿海地区巡逻，截击抗日物资运输，参与“清乡”。
周大文,伪满洲国奉天市市长（曾影响辽西）,1931-1945,原奉系官员，投日后任伪奉天市长，其伪政权政策覆盖辽宁全省，包括兴城地区，推行奴化教育和经济掠夺。
荣臻,伪满洲国军政部总长（曾任东北边防军参谋长）,1931-1945,原东北军高级将领，九一八后投敌，参与策划对辽宁西部抗日义勇军的围剿，其伪军部队曾在兴城、绥中作战。
金荣桂,伪满洲国锦州省兴城县警务科长,1932-1945,投日后任兴城伪警务科长，直接指挥伪警察抓捕抗日群众，刑讯逼供，协助日军建立“爱护村”监控体系。
