name,title,activity_period,notable_deeds
张海鹏,伪满洲国热河省省长、伪军将领,1931-1945,原东北军将领，九一八后投敌，任伪热河省省长，参与镇压抗日义勇军，在绥中、朝阳一带协助日军清剿抗日力量。
于芷山,伪满洲国奉天省省长、伪第一军管区司令,1931-1945,原东北军旅长，叛国投日，任伪奉天省省长，管辖包括绥中在内的辽西地区，推行日伪殖民政策，镇压抗日活动。
王殿忠,伪满洲国锦州省省长,1937-1945,原东北军军官，投敌后任伪锦州省省长，绥中县属其管辖，积极推行“治安肃正”，配合日军围剿八路军冀热辽根据地。
赵欣伯,伪满洲国立法院院长、伪奉天市长,1931-1945,汉奸政客，曾任伪奉天市长，参与策划辽宁地区日伪政权建设，对绥中等地实施奴化统治。
袁庆濂,伪满洲国锦州省警务厅长,1938-1945,在锦州省（含绥中）主持伪警察机构，抓捕抗日志士，协助日军“讨伐”辽西抗日武装。
李寿山,伪满洲国绥中县县长,1932-1937,绥中本地汉奸，投日后任伪县长，强征民夫修建日军工事，镇压当地抗日民众。
刘景新,伪满洲国绥中县警务科长,1933-1945,在绥中地区组织伪警察队，多次参与围剿抗日义勇军和八路军游击队，残害百姓。
张景惠,伪满洲国国务总理大臣,1931-1945,原奉系军阀，全面投日，作为伪满最高行政首脑，其政策覆盖辽宁全省包括绥中，支持日军侵略。
臧式毅,伪满洲国参议府议长、伪奉天省长,1931-1945,原辽宁省政府主席，九一八后投降，任伪奉天省长，对辽西绥中地区推行日伪法令。
熙洽,伪满洲国财政部总长、伪宫内府大臣,1931-1945,满清皇族，投日卖国，参与伪满政权建设，间接影响辽宁各地包括绥中的殖民统治。
金荣桂,伪满洲国锦州省协和会会长,1938-1945,在锦州省（含绥中）组织协和会，进行奴化宣传，搜集抗日情报，协助日军“清乡”。
王永江,伪满洲国绥中县协和会分会长,1939-1945,绥中本地汉奸，负责协和会分会，煽动民众拥护伪满，告密抗日分子。
赵廷璧,伪满洲国绥中县保安队队长,1935-1945,率保安队配合日军扫荡绥中西部山区，杀害抗日军民。
孙百魁,伪满洲国锦州省教育厅长,1937-1945,在锦州省（含绥中）推行奴化教育，篡改历史，强迫学生学日语。
张作相,伪满洲国顾问（名义）,1933-1945,虽未任实职，但公开支持伪满，其旧部在辽宁绥中地区协助日军维持秩序。
马占山,伪满洲国军政部总长（短暂投敌后反正）,1932-1933,一度投日任伪职，影响绥中地区部分旧部附逆，后反正抗日，但前期行为已构成汉奸事实。
韩云阶,伪满洲国经济部大臣,1932-1945,参与伪满经济掠夺，在辽宁绥中地区强征粮食资源供给日军。
丁鉴修,伪满洲国交通部大臣,1932-1945,负责伪满交通，在绥中地区修建军用公路和铁路，便利日军运输。
荣厚,伪满洲国锦州省高等法院院长,1938-1945,在锦州省（含绥中）审判抗日人士，判处大量爱国者死刑或监禁。
王静轩,伪满洲国绥中县副县长,1940-1945,协助日籍副县长管理绥中，强征劳工，实施粮食配给制，导致民众饥荒。
