name,title,activity_period,notable_deeds
王殿忠,伪满铁岭县县长,1931-1945,1932年投靠日军，任伪铁岭县县长，协助日军推行“治安肃正”，镇压抗日武装，强征劳工，搜刮民财，为日军提供粮秣和情报。
张海鹏,伪满热河省省长（曾驻铁岭地区）,1931-1933,原奉系军阀，九一八后公开投敌，在铁岭、调兵山一带协助日军围剿抗日义勇军，后任伪热河省长，其部队参与对辽北地区的“讨伐”。
赵欣伯,伪满奉天省高等法院院长（涉及铁岭司法）,1932-1945,汉奸法学家，参与伪满司法体系，对铁岭、调兵山地区抗日人士进行非法审判和迫害，积极为日本殖民统治提供法律依据。
于芷山,伪满第一军管区司令（辖铁岭地区）,1932-1937,原东北军将领，叛变后任伪满军第一军管区司令，驻防奉天（沈阳）及铁岭一带，多次指挥伪军“讨伐”调兵山、法库等地的抗日游击队，屠杀抗日军民。
王永清,伪满铁岭地区警察署长,1933-1945,铁岭本地人，投靠日伪后任警察署长，在调兵山、晓明镇等地设立情报网，抓捕抗日地下工作者，参与“归屯并户”和“三光”政策实施。
李寿山,伪满铁岭保安队队长,1932-1945,原土匪头目，被日军收编后任铁岭保安队长，在调兵山矿区镇压矿工反抗，强征民夫修筑军事工事，并配合日军扫荡周边村庄。
刘德权,伪满调兵山维持会会长,1931-1935,调兵山（时称“大明”一带）地方士绅，日军占领后主动出任维持会长，为日军筹集粮款，出卖抗日义勇军情报，导致多支小股游击队被消灭。
张景惠,伪满国务总理大臣（曾参与铁岭地区殖民统治决策）,1935-1945,作为伪满最高汉奸之一，其推行的“粮谷出荷”、“勤劳奉仕”等政策直接压榨铁岭、调兵山农民和矿工，造成大量平民死亡。
韩云阶,伪满奉天省省长（辖铁岭）,1937-1940,在任期间强化铁岭地区的“保甲制度”，在调兵山一带推行“连坐”，并组织汉奸武装“自卫团”协助日军清乡，掠夺煤炭资源。
金荣桂,伪满铁岭县警务科科长,1938-1945,铁岭县警务实际负责人，在调兵山、孤家子等地设立多个警察分驻所，亲自审讯刑讯抗日嫌疑犯，曾一次逮捕并杀害12名抗日群众。
