name,title,activity_period,notable_deeds
张海鹏,伪满热河省省长、伪满锦州省省长,1931-1945,九一八事变后投靠日军，任伪满热河省省长，后调任伪满锦州省省长，镇压抗日力量，推行殖民统治。
赵欣伯,伪满立法院院长、伪满锦州省顾问,1931-1945,曾任伪满立法院院长，后任锦州省顾问，协助日军在锦州地区实施奴化教育和经济掠夺。
于冲汉,伪满监察院院长、伪满锦州省参议,1931-1945,投靠日本后任伪满监察院院长，曾参与锦州地区伪政权建设，协助日军清剿抗日武装。
袁金铠,伪满奉天省省长、伪满锦州省高等法院院长,1931-1945,曾任伪满奉天省省长，后任锦州省高等法院院长，为日军镇压抗日民众提供司法支持。
王永江,伪满锦州省警务厅厅长,1932-1945,任伪满锦州省警务厅厅长期间，组织警察配合日军搜捕抗日分子，实施白色恐怖。
李寿山,伪满锦州省协和会会长,1933-1945,担任伪满锦州省协和会会长，推行奴化宣传，强迫民众参加反共集会。
张景惠,伪满国务总理大臣（曾兼锦州地区军事顾问）,1931-1945,伪满最高汉奸之一，曾参与策划锦州地区“治安肃正”行动，屠杀抗日军民。
臧式毅,伪满奉天省省长（曾管辖锦州地区）,1931-1945,投日后任伪满奉天省省长，其辖区包括锦州，支持日军在锦州建立伪政权和军事据点。
熙洽,伪满财政部总长（曾参与锦州地区伪军整编）,1931-1945,伪满核心汉奸，参与组建伪满军，并协助日军在锦州地区收编土匪武装为伪军。
马占山（后期投日）,伪满军政部总长（一度在锦州地区活动）,1932-1945,早期抗日，后一度投日，任伪满军政部总长，其部队曾在锦州地区配合日军行动。
韩云阶,伪满锦州省实业厅厅长,1932-1945,任锦州省实业厅厅长期间，协助日本掠夺锦州地区矿产和粮食资源。
金荣桂,伪满锦州省教育厅厅长,1933-1945,推行奴化教育，强制学校教授日语，删除中国历史内容，迫害爱国教师。
王殿忠,伪满锦州地区保安队队长,1932-1945,率保安队协助日军围剿锦州抗日游击队，多次制造屠杀事件。
张宗援,伪满锦州省宪兵队队长,1933-1945,任锦州宪兵队长，严刑拷打抗日志士，参与“三光”政策实施。
刘桂堂,伪满锦州地区土匪改编伪军头目,1931-1945,原土匪头目，投日后被编为伪军，在锦州地区烧杀抢掠，破坏抗日根据地。
曹瑞征,伪满锦州省警察署署长,1934-1945,指挥警察抓捕地下党员，破坏抗日组织，协助日军进行“大检举”。
孙其昌,伪满锦州省民生厅厅长,1932-1945,推行“粮谷出荷”政策，强征锦州农民粮食，导致大量饿殍。
赵鹏第,伪满锦州省法院审判官,1933-1945,以“反满抗日”罪名判处多名爱国人士死刑，充当日本司法帮凶。
王荆山,伪满锦州省商会会长,1931-1945,为日军筹集军饷，强迫商户捐献物资，并告发抗日商人。
张焕相,伪满锦州省参事官,1932-1945,参与制定锦州地区“治安维持法”，协助日军建立保甲制度。
