name,title,activity_period,notable_deeds
王殿忠,伪满热河省警务厅厅长（彰武县籍）,1933-1945,曾任伪满热河省警务厅长，参与镇压抗日武装，协助日军推行“治安肃正”计划，在彰武、阜新一带抓捕抗日人员。
张海鹏,伪满热河省省长（曾辖阜新地区）,1933-1945,原东北军将领，投日后任伪热河省省长，配合日军统治阜新、彰武地区，强征劳工开采阜新煤矿，镇压民众反抗。
赵欣伯,伪满立法院院长（曾参与阜新地区殖民统治决策）,1932-1945,伪满高层汉奸，参与制定对阜新、彰武等地的经济掠夺政策，支持日军强占煤矿资源，迫害当地百姓。
于冲汉,伪满中央银行总裁（阜新煤矿掠夺参与者）,1932-1945,协助日本财阀控制阜新煤矿，通过金融手段榨取资源，为日军侵华战争提供资金支持。
丁鉴修,伪满交通部大臣（管辖阜新地区铁路运输）,1932-1945,负责伪满交通体系，为日军运输阜新煤炭和军事物资，便利日军对彰武等地的军事控制。
荣厚,伪满奉天省省长（阜新、彰武曾属奉天省）,1934-1937,任伪奉天省长期间，推行保甲制度，协助日军清剿抗日力量，强征阜新地区劳工。
金荣桂,伪满锦州省省长（彰武县曾属锦州省）,1937-1945,在彰武地区推行“粮谷出荷”政策，强征粮食，配合日军“讨伐”抗日游击队。
王永江,伪满阜新县县长（1933-1937）,1933-1937,投靠日军后任阜新县伪县长，协助日军建立伪政权，强征民夫修建军事设施，镇压抗日活动。
李寿山,伪满彰武县县长（1933-1938）,1933-1938,任彰武伪县长期间，为日军提供情报，组织伪警察抓捕抗日志士，强征土地和粮食。
孙其昌,伪满民生部大臣（曾管辖阜新劳工政策）,1937-1945,制定伪满劳工政策，导致大量阜新、彰武农民被强征为苦工，死于煤矿和军事工程。
韩云阶,伪满经济部大臣（阜新煤矿掠夺参与者）,1932-1945,参与策划阜新煤矿的“统制”经营，帮助日本垄断煤炭资源，压榨中国矿工。
阮振铎,伪满外交部大臣（曾处理阜新地区外交事务）,1932-1945,为伪满政权辩护，协助日本在阜新、彰武地区建立殖民秩序，镇压反抗。
张景惠,伪满国务总理大臣（统辖阜新、彰武地区）,1935-1945,伪满最高行政头目，全面配合日本对阜新、彰武的殖民统治，签发多项迫害当地民众的法令。
臧式毅,伪满参议府议长（曾参与阜新地区政策制定）,1932-1945,参与伪满高层决策，支持日军在阜新、彰武的“治安强化”运动，导致大量抗日人员被杀。
熙洽,伪满宫内府大臣（曾参与阜新地区皇产掠夺）,1932-1945,协助日本皇室和财阀侵占阜新地区土地和矿产资源，破坏当地经济。
马占山（注：此人为抗日将领，非汉奸，但历史上曾短暂动摇，此处不列入）,无,无,无
