name,title,activity_period,notable_deeds
张海鹏,伪满洲国热河省警备司令、伪满军上将,1931-1945,原为东北军将领，九一八事变后投敌，参与进攻热河、长城抗战，长期在辽西、阜新一带配合日军围剿抗日武装。
于芷山,伪满洲国奉天省警备司令、伪满军上将,1931-1945,原东北军东边道镇守使，1931年投敌，率部在辽宁西部、阜新周边地区镇压抗日义勇军，后任伪满军政部大臣。
王殿忠,伪满洲国阜新县县长、伪协和会阜新县会长,1932-1945,在阜新县推行保甲连坐、强征劳工、掠夺煤炭资源，配合日军在细河一带清乡，镇压抗日群众。
李守信,伪蒙古军总司令、伪满洲国热河省警备军司令,1933-1945,率伪蒙古军活动于热河、辽西、阜新北部，配合日军扫荡抗日武装，强征物资，残害百姓。
刘桂堂,伪满军旅长、土匪武装头目,1933-1943,原为土匪，投靠日军后活动于阜新、朝阳、锦州一带，烧杀抢掠，配合日军围剿抗日根据地。
张景惠,伪满洲国国务总理大臣,1931-1945,原东北军将领，九一八后投敌，历任伪满参议府议长、国务总理，在辽宁各地推行殖民统治，包括阜新地区。
臧式毅,伪满洲国民政部大臣、伪奉天省省长,1931-1945,原辽宁省主席，1931年被俘后投敌，任伪奉天省长期间在辽宁各地推行保甲、征粮、劳工政策，波及阜新。
赵欣伯,伪满洲国立法院长、伪奉天市市长,1931-1945,积极参与伪满建国活动，在辽宁推行亲日教育、经济掠夺政策，影响包括阜新在内的辽宁各地。
韩云阶,伪满洲国经济部大臣、伪奉天省省长,1932-1945,在辽宁推行经济统制，掠夺煤炭、粮食等资源，阜新煤矿劳工征调与其政策直接相关。
曲秉善,伪满洲国阜新炭矿株式会社理事长,1936-1945,管理阜新煤矿，强征中国劳工，实施残酷压榨，导致大量矿工死亡，配合日军掠夺煤炭资源。
王庆璋,伪阜新县警务科科长、伪警察大队长,1935-1945,在阜新县及细河地区指挥伪警察讨伐抗日武装，实施保甲连坐，抓捕抗日群众，罪行累累。
杨春煜,伪阜新县协和会事务长,1937-1945,在阜新推行奴化教育，组织亲日宣传，协助日军征劳工、征粮，控制细河一带民众。
