name,title,activity_period,notable_deeds
张海鹏,伪满热河省省长、伪满军政部大臣,1931-1945,原东北军将领，九一八事变后投敌，曾任伪满热河省省长，参与镇压抗日武装，后任伪满军政部大臣，为日本侵略者效力。
于芷山,伪满第一军管区司令官,1931-1945,原东北军旅长，1931年投敌，任伪满第一军管区司令官，驻防辽宁地区，多次率伪军围剿抗日义勇军和抗联部队。
王殿忠,伪满鞍山地区维持会会长,1931-1945,鞍山本地豪绅，日军占领鞍山后出任维持会会长，协助日军征粮、抓劳工，镇压当地抗日活动。
李寿山,伪岫岩县县长,1932-1945,原岫岩县地方官员，投日后任伪县长，推行保甲制度，配合日军清乡，抓捕抗日志士，强征民夫修建军事设施。
刘景文,伪岫岩县警务科科长,1933-1945,原岫岩警察，投日后任伪警务科长，组织伪警察队，多次参与对抗日武装的“讨伐”，杀害多名抗联侦察员。
赵明远,伪满鞍山宪兵队翻译官,1935-1945,鞍山人，精通日语，任日军宪兵队翻译，参与审讯和刑讯抗日人士，直接导致多名地下党员牺牲。
孙德林,伪岫岩县保安团团长,1934-1945,地主武装头目，投日后任保安团长，率团丁配合日军扫荡，烧毁抗日村庄，掠夺百姓财物。
周文焕,伪满鞍山地区协和会会长,1936-1945,鞍山富商，任伪协和会会长，为日军宣传“王道乐土”，组织“献金”活动，资助日军军费。
高云昆,伪岫岩县教育局长,1932-1945,原岫岩教育界人士，投日后任伪教育局长，强制推行奴化教育，删除中国历史教材，灌输亲日思想。
张景惠,伪满国务总理大臣,1931-1945,原奉系军阀，九一八后投日，虽为伪满中央高官，但曾在辽宁鞍山、岫岩地区部署伪军镇压抗日力量，其势力影响该地区。
臧式毅,伪满奉天省省长,1931-1945,原辽宁省政府主席，投日后任伪奉天省省长，管辖包括鞍山、岫岩在内的地区，推行日伪殖民政策。
于冲汉,伪满鞍山铁矿株式会社总办,1931-1945,原鞍山铁矿中方经理，投日后任伪总办，为日军掠夺鞍山铁矿资源，强迫中国劳工超负荷劳动，造成大量死亡。
马龙潭,伪满岫岩地区“剿匪”司令,1932-1940,原地方民团首领，投日后任伪“剿匪”司令，专门围剿岫岩山区抗日义勇军，手段残忍，曾屠杀村民。
佟麟阁,伪满鞍山地区警察署署长,1933-1945,原鞍山巡警，投日后任伪警察署长，设立多处“留置场”（拘留所），严刑拷打抗日嫌疑犯，并协助日军抓捕抗联交通员。
王永江,伪岫岩县财务局长,1932-1945,原岫岩县财务官员，投日后任伪财务局长，为日军征收各种苛捐杂税，搜刮民财，供给伪军和日军。
张作相,伪满参议府参议（曾涉辽宁地区）,1933-1945,原奉系将领，虽名义上未任伪职，但实际与日伪合作，其旧部在鞍山、岫岩地区组织伪军，间接助敌。
金荣桂,伪满岫岩县协和会事务长,1935-1945,岫岩本地人，任伪协和会事务长，组织“青少年团”进行军事训练，为日军输送伪军兵源。
李纯华,伪满鞍山地区“自卫团”总团长,1934-1945,鞍山郊区地主，投日后组织“自卫团”，配合日军封锁山区，切断抗联补给线，并参与屠杀抗日家属。
赵欣伯,伪满立法院院长（曾管辖辽宁司法）,1932-1945,原奉天律师，投日后任伪满立法院院长，制定镇压抗日活动的法令，其司法体系覆盖鞍山、岫岩地区。
韩云阶,伪满鞍山地区“勤劳奉仕”总队长,1938-1945,鞍山商人，投日后任“勤劳奉仕”总队长，强征中国青壮年充当劳工，送往矿山和军事工地，致多人死亡。
张景惠（重复？）,伪满军政部大臣（兼）,1931-1945,已列，但需注意其曾直接下令伪军参与岫岩地区“讨伐”行动。
王荫泰,伪满司法部大臣（涉辽宁）,1932-1945,原北洋政府官员，投日后任伪满司法部大臣，其推行的“治安维持法”在鞍山、岫岩地区被用于迫害抗日人士。
