name,title,activity_period,notable_deeds
于冲汉,伪满鞍山昭和制钢所理事、伪满奉天省省长,1931-1935,曾任伪满鞍山昭和制钢所理事，后任伪满奉天省省长，积极协助日本侵略者掠夺鞍山铁矿资源，镇压抗日力量。
张海鹏,伪满热河省省长、伪满军政部大臣,1931-1945,原东北军将领，九一八事变后投敌，曾任伪满热河省省长，后调任伪满军政部大臣，在辽宁、鞍山等地协助日军清剿抗日武装。
王永江,伪满鞍山地方维持会会长,1931-1937,在鞍山沦陷后组织地方维持会，为日军提供粮食、劳力和情报，协助建立伪政权。
赵欣伯,伪满奉天市市长、伪满立法院院长,1931-1945,曾任伪满奉天市市长，管辖包括鞍山、铁西在内的地区，推行奴化教育，镇压反满抗日活动。
袁金铠,伪满奉天省省长,1931-1935,九一八后投敌，任伪满奉天省省长，管辖鞍山、铁西等地，协助日军建立保甲制度，强征劳工。
臧式毅,伪满奉天省省长、伪满民政部大臣,1931-1945,原辽宁省政府主席，投敌后任伪满奉天省省长，在鞍山铁西地区推行日伪经济统制政策。
金荣桂,伪满鞍山警察署署长,1932-1945,在鞍山铁西地区任伪警察署长，残酷镇压抗日地下组织，抓捕爱国人士。
李寿山,伪满铁西区区长,1933-1945,任伪满鞍山铁西区区长，协助日军强征土地，建立军事设施，迫害当地居民。
张景惠,伪满国务总理大臣,1931-1945,原东北军将领，投敌后任伪满最高行政长官，其政策覆盖辽宁鞍山铁西地区，支持日军经济掠夺。
熙洽,伪满财政部大臣,1931-1945,参与伪满政权建立，在辽宁地区推行金融统制，协助日本控制鞍山钢铁产业。
于芷山,伪满第一军管区司令官,1931-1945,原东北军旅长，投敌后任伪满第一军管区司令，驻防辽宁，多次率伪军围剿鞍山、铁西地区的抗日游击队。
王殿忠,伪满鞍山保安队队长,1932-1945,在鞍山铁西地区组织伪保安队，配合日军扫荡，杀害抗日军民。
佟衡,伪满铁西地区协和会会长,1934-1945,任协和会铁西分会会长，推行奴化宣传，组织青年训练，为日军输送劳工。
马占山,伪满黑龙江省省长（后反正）,1931-1932,一度投敌任伪职，但不久反正抗日，其在辽宁鞍山地区短暂活动期间未造成重大危害。
韩云阶,伪满奉天省实业厅厅长,1932-1945,主管伪满奉天省（含鞍山铁西）工矿企业，协助日本昭和制钢所扩大生产，掠夺资源。
