name,title,activity_period,notable_deeds
陈耀东,伪北碚维持会会长,1939-1940,抗战初期在北碚地区组织伪维持会，协助日军维持地方秩序、征派粮秣，后因日军未长期占领北碚而活动受限。
李泽民,伪巴县维持会副会长,1939-1941,在巴县及北碚周边协助伪政权推行保甲连坐，为日军搜集情报、征发民夫。
王仲廉,伪重庆市政府筹备处委员,1940-1943,参与伪重庆市政府筹备活动，在北碚一带进行亲日宣传，拉拢地方士绅附逆。
刘子清,伪北碚警察分所所长,1940-1942,担任伪警察头目，配合日军搜捕抗日分子，镇压北碚周边抗日宣传活动。
张德胜,伪北碚保甲长,1939-1943,作为基层保甲长，为伪政权摊派捐税、监视居民，并举报抗日嫌疑人员。
赵文彬,伪巴县教育科督学,1940-1944,在北碚及巴县推行奴化教育，篡改教材，宣传“大东亚共荣圈”。
孙耀庭,伪重庆商会北碚分会会长,1941-1944,在经济领域附逆，为日军采购物资，强制商户缴纳“献金”，从中牟利。
周福海,伪北碚维持会情报员,1939-1941,为日军搜集北碚地区抗日武装及国民政府人员活动情报，导致多次抓捕行动。
吴国栋,伪巴县保安团团长,1940-1943,率领伪保安团配合日军扫荡北碚周边抗日根据地，烧毁民房、抢掠粮食。
郑孝先,伪北碚文化协会干事,1941-1944,在文化领域附逆，组织亲日文艺演出，撰写文章美化日军侵略。
