name,title,activity_period,notable_deeds
李竹庵,垫江县维持会会长,1940-1941,日军空袭垫江后，出面组织维持会，协助日军安抚民众、征集物资，并诱使部分士绅附逆。
皮世德,垫江县伪保安队队长,1941-1943,率伪保安队配合日军扫荡周边乡村，搜捕抗日志士，强征民夫修筑工事。
王仲槐,垫江县伪警察所所长,1940-1944,在垫江及邻县边界地区建立伪警察网络，登记户口、发放良民证，镇压抗日宣传活动。
刘雨卿,垫江县伪教育会会长,1941-1945,推行奴化教育，篡改教材，组织学生参加亲日集会，为伪政权培养基层人员。
陈海波,垫江县伪商会会长,1940-1945,控制垫江物资流通，为日军采购粮食、桐油等战略物资，从中牟利并打压抗日商户。
张绍武,长寿县伪维持会副会长（邻近垫江）,1940-1942,在长寿、垫江交界地区组织维持会，协助日军征粮派款，诱降地方武装。
杨明斋,涪陵县伪保安团团长（邻近垫江）,1941-1944,率伪保安团在涪陵、垫江一带配合日军清乡，烧毁抗日游击队据点，杀害抗日群众。
吴绍周,丰都县伪警察局局长（邻近垫江）,1940-1943,在丰都、垫江边境地区建立伪警察据点，逮捕抗日地下工作者，破坏中共地下交通线。
周化成,忠县伪维持会会长（邻近垫江）,1940-1942,组织忠县维持会，为日军提供情报，协助日军空袭后的地面引导与物资搜刮。
石体元,四川省伪政府参议（影响垫江）,1940-1945,在成都伪政权中任职，参与制定对川东各县的征粮、征兵计划，垫江等县受其指令影响。
