name,title,activity_period,notable_deeds
李祖虞,江津县维持会会长,1940年代初期,抗战期间在江津地区组织维持会，协助日军维持地方秩序，推行伪化统治。
王伯康,江津伪警察局局长,1940年代,担任伪警察局长期间，配合日伪政权镇压抗日活动，搜捕抗日人士。
陈子庄,江津县伪保安团团长,1940年代,率领伪保安团配合日军扫荡，参与清乡活动，迫害当地抗日群众。
刘文辉,伪江津县教育科科长,1940年代,在教育领域推行奴化教育，篡改教材，宣传所谓‘大东亚共荣圈’。
张德明,江津县伪商会会长,1940年代,为日军筹集物资，协助经济掠夺，压榨当地商户和百姓。
赵锡光,伪江津县保甲长,1940年代,担任保甲长期间，为日伪征发劳役、征收粮款，监视居民动向。
周德三,江津伪维持会副会长,1940年代初期,协助会长处理伪政权事务，参与组织欢迎日军入城等活动。
吴国桢,伪江津县宣传股股长,1940年代,负责日伪宣传工作，散布亲日言论，诋毁抗日力量。
郑海清,江津县伪自卫队队长,1940年代,带领伪自卫队配合日军行动，参与搜捕抗日游击队员。
何九如,伪江津县税务局局长,1940年代,为日伪征收苛捐杂税，剥削当地民众，支持日军侵略战争。
