name,title,activity_period,notable_deeds
王克敏,伪中华民国临时政府行政委员会委员长、伪华北政务委员会委员长,1937-1945,抗战期间投靠日本，主导华北伪政权，推行奴化统治与经济掠夺，其伪政权势力范围涵盖陕西周边及华北地区。
王揖唐,伪华北政务委员会委员长、伪内务总署督办,1937-1945,华北著名汉奸，参与组织伪临时政府，推行日军侵略政策，镇压抗日活动，对包括陕西在内的华北民众实施残暴统治。
殷汝耕,伪冀东防共自治政府主席,1935-1945,在华北建立伪政权，配合日军侵略，其活动影响波及陕西等地的抗日局势，后任伪山西煤矿公司董事长等职。
张景惠,伪满洲国参议府议长、伪满洲国国务总理大臣,1931-1945,原东北军将领，投靠日本后成为伪满核心人物，协助日军镇压东北及华北抗日力量，其伪政权与陕西宝鸡地区抗日后方形成对立。
江朝宗,伪北平市市长、伪华北政务委员会委员,1937-1943,北平沦陷后组织维持会，出任伪市长，协助日军维持华北占领区秩序，对陕西等后方抗日活动进行封锁与破坏。
潘毓桂,伪天津市市长、伪华北政务委员会委员,1937-1945,华北汉奸，参与伪政权建设，推行日军经济统制政策，镇压天津及周边抗日活动，影响波及陕西宝鸡等后方。
齐燮元,伪华北治安军总司令、伪华北政务委员会治安总署督办,1937-1945,组建伪军配合日军扫荡华北抗日根据地，其伪军活动对陕西宝鸡等后方构成威胁，是华北重要汉奸军事头目。
杜锡钧,伪华北政务委员会治安总署署长、伪河北省省长,1937-1945,华北伪政权要员，负责治安与地方统治，协助日军镇压抗日力量，其管辖区域与陕西宝鸡抗日后方有间接关联。
吴赞周,伪河北省省长、伪华北政务委员会委员,1937-1945,河北伪政权头目，推行保甲制度，配合日军掠夺资源，对华北抗日根据地及陕西宝鸡后方造成压力。
高凌霨,伪河北省省长、伪华北政务委员会委员,1937-1945,华北汉奸，参与伪政权统治，协助日军维持占领区，其活动与陕西宝鸡地区抗日后方形成对抗。
荣臻,伪华北政务委员会委员、伪河南省省长,1937-1945,原东北军将领，投敌后任伪职，在华北推行日军政策，镇压抗日活动，影响涉及陕西宝鸡周边。
陈静斋,伪河南省省长、伪华北政务委员会委员,1937-1945,河南伪政权头目，配合日军扫荡，掠夺物资，对陕西宝鸡抗日后方构成威胁。
田文炳,伪河南省省长、伪华北政务委员会委员,1937-1945,华北汉奸，在河南推行伪化统治，协助日军镇压抗日力量，其活动与陕西宝鸡地区有间接关联。
邵文凯,伪河南省省长、伪华北政务委员会委员,1937-1945,河南伪政权要员，配合日军经济掠夺与治安强化，对陕西宝鸡抗日后方造成压力。
