name,title,activity_period,notable_deeds
王克明,伪汉中维持会会长,1938年-1940年,日军侵占汉中期间，出面组织伪汉中维持会，协助日军征粮、派夫、维持地方秩序，为日军侵略服务。
李振西,伪汉中县知事,1938年-1941年,在日军控制下出任伪汉中县知事，推行伪政令，配合日军清乡、征发物资，镇压抗日活动。
张子厚,伪南郑县维持会副会长,1938年-1940年,协助伪维持会会长管理南郑县（今汉台区）地方事务，为日军筹粮筹款，动员民众服从日伪统治。
刘文卿,伪汉中警察局局长,1939年-1942年,担任伪警察局长期间，配合日军搜捕抗日人士，镇压民众反抗，维护日伪在汉中的统治秩序。
赵子明,伪汉中保安团团长,1938年-1943年,率领伪保安团协助日军扫荡汉中周边抗日武装，抓捕抗日群众，为日军提供情报。
陈伯衡,伪陕西省政府委员兼汉中道尹,1938年-1941年,在伪陕西省政权中任职，负责汉中道（含今汉台区）的伪行政事务，推行日军侵略政策，征发民夫物资。
孙仲山,伪汉中商会会长,1938年-1942年,作为伪商会会长，为日军筹集军需物资，强制商户交纳款项，协助日伪经济掠夺。
吴子敬,伪汉中教育会会长,1939年-1943年,在日伪控制下推行奴化教育，篡改教材，向学生灌输亲日思想，为日军侵略培养顺民。
周德福,伪汉中保甲长,1938年-1944年,担任伪保甲长期间，为日军征派壮丁、粮食，监视居民行动，举报抗日分子，直接协助日伪基层统治。
马耀南,伪汉中宣传科科长,1939年-1942年,负责日伪在汉中的宣传事务，散布亲日言论，诋毁抗日力量，为日军侵略制造舆论。
