name,title,activity_period,notable_deeds
张景惠,伪满洲国参议府议长、伪满洲国国务总理大臣,1932-1945,辽宁台安人，九一八事变后投敌，历任伪满军政部总长、参议府议长、国务总理大臣等职，是伪满洲国最高层汉奸之一，其伪政权统治覆盖黑龙江全境，包括伊春、大箐山地区。
熙洽,伪满洲国财政部总长、伪满洲国宫内府大臣,1931-1945,清朝宗室后裔，九一八事变后率先在吉林投敌，主持建立伪吉林省政权，后任伪满财政总长、宫内府大臣，其附逆行为对包括黑龙江在内的东北全境沦陷有直接影响。
于琛澂,伪满洲国军上将、伪第四军管区司令官,1931-1945,黑龙江双城人，九一八事变后投敌，率伪军配合日军进攻哈尔滨及黑龙江各地，后任伪满第四军管区司令官，负责北满地区治安，其伪军活动范围覆盖伊春、大箐山一带。
张海鹏,伪满洲国军上将、伪洮辽警备司令,1931-1945,辽宁人，原东北军将领，九一八事变后投敌，率部进攻黑龙江，配合日军侵占齐齐哈尔等地，后任伪满洮辽警备司令，其伪军活动涉及黑龙江多地。
程志远,伪满洲国军中将、伪黑龙江省警备司令,1931-1945,原东北军骑兵旅长，九一八事变后投敌，任伪黑龙江省警备司令，配合日军镇压黑龙江抗日武装，其辖区包括伊春、大箐山周边地区。
王殿忠,伪满洲国军中将、伪三江省省长,1932-1945,原东北军军官，投敌后任伪满军职，后任伪三江省省长，管辖松花江下游及小兴安岭地区，包括伊春、大箐山一带，配合日军围剿抗日联军。
金名世,伪满洲国三江省省长、伪吉林省省长,1932-1945,辽宁人，投敌后历任伪满地方官员，曾任伪三江省省长，管辖范围包括伊春、大箐山地区，推行保甲制、经济统制，配合日军镇压抗日力量。
卢元善,伪满洲国三江省省长、伪文教部大臣,1932-1945,投敌后任伪满地方及中央官员，曾任伪三江省省长，管辖伊春、大箐山一带，推行奴化教育及经济掠夺政策。
于镜涛,伪满洲国哈尔滨警察厅长、伪滨江省省长,1932-1945,投敌后长期在哈尔滨及滨江省任职，负责警务及地方行政，其管辖范围覆盖黑龙江中部，包括伊春、大箐山周边，参与镇压抗日活动。
赵秋航,伪满洲国滨江省警务厅长,1930年代-1945,投敌后任伪滨江省警务厅长，负责哈尔滨及周边地区治安，配合日军围剿抗日联军，其警务活动涉及伊春、大箐山地区。
李树桂,伪满洲国伊春地区维持会会长,1930年代-1945,伊春本地士绅，日军侵占伊春后出面组织维持会，协助日军征发劳工、物资，维持地方伪秩序，直接服务于大箐山、伊春一带的殖民统治。
刘德山,伪满洲国汤原县警务科警长（伊春、大箐山周边）,1930年代-1945,伪汤原县警务人员，活动于小兴安岭东南麓，包括今伊春、大箐山一带，参与搜捕抗日联军及镇压民众，是当地伪警头目之一。
王福堂,伪满洲国铁骊县（今铁力）保甲长,1930年代-1945,铁骊县（今铁力市，邻近伊春、大箐山）保甲长，推行保甲连坐，协助日军征粮、抓劳工，镇压当地抗日群众。
孙国栋,伪满洲国佛山县（今嘉荫）维持会副会长,1930年代-1945,佛山县（今嘉荫县，属伊春市）维持会头目，协助日军控制黑龙江沿岸，征发劳工、物资，配合日军封锁抗日联军。
张子明,伪满洲国伊春林业株式会社把头,1930年代-1945,伊春林区伪林业把头，为日军掠夺小兴安岭木材资源，残酷压榨伐木劳工，直接参与经济掠夺，活动范围覆盖大箐山地区。
