name,title,activity_period,notable_deeds
于琛澂,伪满佳木斯地区警备司令、伪满第七军管区司令,1932-1945,镇压东北抗日联军，在佳木斯、同江等地推行‘归屯并户’，制造无人区，屠杀抗日军民。
张文铸,伪满三江省省长（驻佳木斯）,1934-1939,在佳木斯地区实施殖民统治，强征劳工，配合日军‘讨伐’抗联，推行经济掠夺政策。
孙其昌,伪满三江省次长（实际掌权者，日本人）,1935-1937,作为日本籍次长，主导佳木斯地区治安肃正，组织‘宣抚班’瓦解抗联，迫害地下党员。
金名世,伪满三江省警务厅厅长,1936-1940,指挥伪警察在佳木斯、同江等地搜捕抗联联络站，逮捕杀害多名抗日志士，参与‘三江大讨伐’。
赵欣伯,伪满三江省高等法院院长,1933-1937,审判抗日人士，以‘反满抗日’罪名判处大量抗联战士及群众死刑或重刑，在佳木斯制造多起冤案。
王永江,伪满同江县县长,1932-1935,在同江地区强制推行‘保甲制度’，组织汉奸自卫团，协助日军清剿抗联游击队，强征粮食支援日军。
李春润,伪满同江县警务科科长,1933-1938,率伪警察多次袭击同江境内的抗联小分队，破坏地下交通线，逮捕并刑讯逼供抗日群众。
张海鹏,伪满三江省协和会本部部长（驻佳木斯）,1937-1941,在佳木斯地区组织‘协和会’宣传奴化思想，搜集抗日情报，协助日军‘讨伐’抗联，迫害爱国学生。
韩云阶,伪满三江省实业厅厅长,1935-1939,在佳木斯、同江等地推行‘产业开发计划’，强占农民土地，为日军提供粮食和木材，压榨劳工。
于镜涛,伪满佳木斯市警察局局长,1938-1942,在佳木斯市区设立多处特务据点，破坏抗联地下组织，逮捕并杀害多名地下党员和进步青年。
刘德权,伪满同江县协和会分会长,1939-1943,在同江农村组织‘协和会’分会，强迫农民检举抗日分子，配合日伪军‘讨伐’抗联，收缴民间武器。
赵连升,伪满三江省保安队队长（驻佳木斯）,1940-1945,率保安队参与‘三江大讨伐’，在佳木斯周边山区搜捕抗联战士，烧毁抗联密营，杀害伤员。
