name,title,activity_period,notable_deeds
张景惠,伪满洲国参议府议长、伪满洲国国务总理大臣,1932-1945,辽宁台安人，早年与张作霖结拜，九一八事变后公开投敌，任伪东北行政委员会委员长、伪满洲国参议府议长，后任伪满洲国国务总理大臣，全面推行日本殖民统治政策，为伪满傀儡政权核心人物之一，其势力与影响覆盖包括佳木斯在内的东北全境。
熙洽,伪满洲国财政部总长、伪吉林省长,1931-1945,清末宗室，九一八事变后率先投敌，组织伪吉林省政权，后任伪满洲国财政部总长等职，积极协助日本侵略者控制东北财政与经济，其伪政权体系延伸至黑龙江各地包括佳木斯地区。
于琛澂,伪满洲国军上将、伪第四军管区司令官,1931-1945,原东北军将领，九一八事变后投敌，任伪满军高级将领，曾率伪军配合日军在黑龙江、吉林等地围剿抗日武装，其军事活动范围覆盖佳木斯一带。
王殿忠,伪满洲国军中将、伪佳木斯地区警备司令,1932-1945,原东北军军官，投敌后任伪满军将领，曾驻防佳木斯地区，指挥伪军配合日军对东北抗日联军进行讨伐，镇压当地抗日活动。
李华堂,伪三江省警务厅警佐、伪自卫团团长,1932-1945,原为东北抗日联军将领，后叛变投敌，任伪三江省警务厅警佐及伪自卫团团长，在佳木斯、依兰、勃利一带配合日军搜捕抗日人员，出卖抗日组织情报。
谢文东,伪三江省协和会会长、伪自卫军司令,1939-1945,原东北抗日联军第八军军长，1939年叛变投敌，任伪三江省协和会会长、伪自卫军司令，在佳木斯、勃利、依兰等地协助日军围剿抗联，残害抗日群众。
滕松柏,伪三江省警务厅厅长,1934-1945,伪满时期任三江省警务厅厅长，驻佳木斯，统管三江地区伪警察系统，积极推行保甲连坐制度，配合日军镇压抗日力量，抓捕抗日志士。
卢元善,伪三江省民生厅厅长、伪佳木斯市长,1934-1945,伪满时期长期在佳木斯任职，曾任伪三江省民生厅厅长、伪佳木斯市长，推行日本殖民经济政策，强征劳工、配给物资，协助日军掠夺当地资源。
张锡侯,伪佳木斯维持会会长,1932-1934,九一八事变后佳木斯沦陷初期，组织伪维持会并任会长，协助日军维持地方秩序、征发物资、招募伪军，为日军占领佳木斯提供地方支持。
孙广庭,伪桦川县公署参事官、伪佳木斯街长,1933-1945,伪满时期在佳木斯及桦川一带任职，曾任伪桦川县公署参事官、伪佳木斯街长，协助日军推行街村制、保甲制，管理地方行政并配合经济掠夺。
赵仲仁,伪三江省教育厅厅长,1935-1945,伪满时期任三江省教育厅厅长，驻佳木斯，推行奴化教育，强制学校使用日语、篡改历史教材，向当地青少年灌输亲日思想。
刘德权,伪三江省实业厅厅长,1936-1945,伪满时期任三江省实业厅厅长，驻佳木斯，负责矿产、林业、农业资源开发，协助日本侵略者掠夺三江地区煤炭、木材和粮食。
王明贵,伪汤原县警务科科长,1935-1945,伪满时期在汤原、佳木斯一带任伪警务科科长，指挥伪警察配合日军讨伐抗日联军，破坏抗日地下组织，抓捕抗日群众。
陈万金,伪依兰县维持会会长,1932-1935,依兰沦陷后组织伪维持会并任会长，协助日军在依兰、佳木斯一带征粮、征夫，维持殖民统治秩序。
关成山,伪勃利县保甲长、伪自卫团团长,1934-1945,伪满时期在勃利、佳木斯一带任保甲长及伪自卫团团长，推行保甲连坐，配合日军搜捕抗日人员，欺压当地百姓。
