name,title,activity_period,notable_deeds
张景惠,伪满洲国国务总理大臣,1931-1945,出生于辽宁台安，曾任奉系将领，九一八后投敌，1935年任伪满国务总理，推行殖民政策，协助日本统治东北，包括佳木斯、富锦地区。
于琛澂,伪满洲国第四军管区司令官（驻佳木斯）,1932-1945,原东北军将领，1932年投敌，任伪满第四军管区司令，驻佳木斯，负责镇压三江地区抗日武装，多次围剿抗联部队。
赵毅,伪满洲国三江省省长,1934-1945,伪满三江省（辖佳木斯、富锦等县）省长，推行日伪“治安肃正”政策，组织保甲制度，协助日军屠杀抗联及平民。
王永江,伪满洲国富锦县县长,1932-1938,原地方士绅，投日后任富锦县伪县长，强征粮食、劳工，配合日军建立“集团部落”，迫害抗日群众。
李铭书,伪满洲国佳木斯市市长,1937-1943,伪佳木斯市首任市长，推行奴化教育，强制收缴民间武器，协助日军特务机关监控反满抗日活动。
刘德权,伪满洲国三江省警务厅厅长,1935-1945,负责三江省警察系统，指挥伪警察配合日军“讨伐”抗联，在富锦、同江等地制造多起屠杀事件。
张海鹏,伪满洲国热河省省长（曾参与三江地区军事）,1931-1945,原洮辽镇守使，投日后任伪满军政要职，曾派兵参与对佳木斯、富锦一带抗联的围剿。
金壁东,伪满洲国交通部大臣（曾管辖三江地区铁路）,1932-1945,清肃亲王善耆之子，投日任伪满交通大臣，修建军事铁路连接佳木斯、富锦，用于日军运输兵力和物资。
于静远,伪满洲国三江省次长（实际掌权）,1938-1945,日本关东军指派日系官员，名义次长实为最高决策者，主导三江省“讨伐”抗联计划，在富锦地区实施“三光政策”。
王殿忠,伪满洲国富锦县警察署署长,1933-1945,原土匪头目，投日后任富锦警察署长，率伪警多次袭击抗联密营，逮捕并杀害抗日志士数十人。
张景芳,伪满洲国佳木斯地区协和会会长,1936-1945,协和会地方头目，宣传“日满亲善”，组织汉奸团体搜集抗日情报，破坏地下抗日组织。
李春润,伪满洲国三江省保安队队长,1932-1940,原东北军下级军官，投日后任保安队长，在富锦、绥滨一带配合日军“扫荡”，烧毁村庄，杀害抗联伤员。
赵连升,伪满洲国富锦县参事官（日系）,1934-1945,日本籍参事官，实际控制富锦县政，推行“粮谷出荷”政策，强征农民粮食，导致大量饿殍。
孙鸣山,伪满洲国佳木斯宪兵队翻译官,1937-1945,为日军宪兵队担任翻译，参与刑讯逼供抗联被捕人员，直接导致多名地下党员牺牲。
吴泰来,伪满洲国三江省教育长,1938-1945,推行奴化教育，强制学校使用日语教材，灌输“忠君爱国”思想，迫害爱国教师。
张德纯,伪满洲国富锦县自卫团团长,1933-1945,组织地方自卫团，协助日军封锁抗联交通线，在富锦北部山区多次伏击抗联小分队。
王佐才,伪满洲国佳木斯市警察局局长,1938-1945,指挥伪警在市区大肆搜捕抗日分子，破坏中共佳木斯地下组织，逮捕并杀害多名爱国人士。
李万发,伪满洲国三江省特务机关情报员,1935-1945,充当日军特务，伪装成商人潜入富锦、同江等地，刺探抗联情报，导致多处密营被毁。
张景惠（同名不同人）,伪满洲国富锦县商务会会长,1932-1945,富锦本地商人，投日后任商务会长，为日军筹集军饷物资，并强迫商户“献金”支持侵略战争。
赵荣久,伪满洲国佳木斯地区“治安维持会”委员,1932-1937,九一八后率先组织维持会迎接日军，协助建立伪政权，后任伪满县公署科长，参与“归屯并户”。
