name,title,activity_period,notable_deeds
张景惠,伪满洲国参议府议长、伪满洲国国务总理大臣,1931-1945,辽宁台安人，九一八事变后投敌，历任伪满洲国军政部总长、参议府议长、国务总理大臣等职，为伪满最高层汉奸之一，其伪政权统治覆盖包括佳木斯在内的东北全境。
熙洽,伪满洲国财政部总长、伪吉林省长,1931-1945,清朝宗室，九一八事变后率先投敌，组织伪吉林省政权，后任伪满财政部总长等职，参与伪满统治体系构建，影响波及黑龙江地区。
于琛澂,伪满洲国军上将、伪三江省省长,1932-1944,原东北军将领，投敌后任伪满军职，曾率伪军进攻吉林、黑龙江抗日武装，后任伪三江省省长，三江省辖境包括今佳木斯地区，直接参与对佳木斯一带抗日力量的镇压。
金名世,伪三江省省长、伪满洲国司法部大臣,1930年代-1945,伪满官员，曾任伪三江省省长，管辖今佳木斯、双鸭山、鹤岗等地，推行保甲、集家并村等政策，镇压抗日活动。
卢元善,伪三江省省长、伪满洲国文教部大臣,1930年代-1945,曾任伪三江省省长，后任伪满文教部大臣，在佳木斯地区推行奴化教育，配合日军围剿抗日武装。
王殿忠,伪三江省警务厅厅长、伪满警察头目,1930年代-1945,在伪三江省任职期间，指挥伪警察配合日军对佳木斯周边抗日游击区进行扫荡，抓捕抗日人员。
李华堂,伪三江省地方维持会会长、伪自卫团头目,1932-1945,佳木斯地区地主武装头目，投敌后组织维持会，协助日军维持地方统治，参与镇压当地抗日群众。
谢文东,伪三江省依兰地区维持会头目、伪自卫团团长,1930年代-1945,原为抗日武装首领，后投降日军，在依兰、佳木斯一带组织伪自卫团，配合日军进攻抗日联军，是松花江下游地区著名叛徒。
李华堂,伪三江省自卫团头目,1930年代-1945,与谢文东类似，原抗日武装人员后投敌，在佳木斯周边地区为日军搜集情报、带路围剿抗日联军。
孙国栋,伪佳木斯市维持会会长,1932-1938,佳木斯地方士绅，日军占领佳木斯后出面组织维持会，为日军筹粮筹款、招募劳工，协助建立伪政权。
曲恩远,伪佳木斯市商会会长、伪协和会佳木斯分会会长,1930年代-1945,佳木斯商界人物，投靠日伪，控制商会为日军经济掠夺服务，并通过协和会进行亲日宣传。
张明久,伪桦川县公署县长,1930年代-1945,桦川县辖今佳木斯郊区部分区域，任伪县长期间推行保甲制、抓劳工、征粮，配合日军统治。
赵振邦,伪桦川县警务局局长,1930年代-1945,在桦川县及佳木斯郊区一带指挥伪警察镇压抗日活动，抓捕抗日群众。
刘文清,伪汤原县公署县长,1930年代-1945,汤原县与佳木斯郊区接壤，任伪县长期间配合日军对汤原、佳木斯一带抗日游击区进行经济封锁和军事扫荡。
王明贵,伪汤原县警务科科长,1930年代-1945,在汤原、佳木斯交界地区指挥伪警察讨伐队，参与围剿抗日联军。
陈万金,伪三江省协和会事务长,1930年代-1945,在佳木斯地区通过协和会组织亲日团体，进行奴化宣传，动员青年参加伪军。
吴国栋,伪佳木斯市警察署署长,1930年代-1945,直接负责佳木斯市区及郊区治安，抓捕抗日嫌疑人员，镇压地下抗日组织。
孟庆余,伪三江省实业厅厅长,1930年代-1945,在佳木斯地区推行经济统制，掠夺粮食、木材等资源，为日军侵华战争服务。
姜鹏飞,伪满洲国军第七军管区司令官,1940年代-1945,伪满军高级将领，所辖部队包括佳木斯地区，参与对东北抗日联军的围剿作战。
赫慕侠,伪三江省保安局局长,1930年代-1945,负责三江省地方保安武装，配合日军在佳木斯周边进行治安肃正，镇压抗日力量。
