name,title,activity_period,notable_deeds
李延禄,伪宝清县警务科科长,1932-1945,投靠日军后任伪警务科长，参与围剿抗日武装，抓捕抗联地下工作者，协助日军推行“归屯并户”政策。
张海峰,伪宝清县协和会会长,1934-1945,组织汉奸宣传队为日军侵略张目，强迫民众捐献物资，告密导致多名抗联交通员被捕牺牲。
王德林,伪宝清县保安队队长,1933-1945,率保安队配合日军“讨伐”抗联第七军，在宝清南部山区烧毁民房，杀害抗日群众家属。
赵连璧,伪双鸭山炭矿株式会社矿警队长,1937-1945,为日军开采煤炭资源充当打手，镇压矿工反抗，多次向日军报告抗联活动线索，导致游击队袭击失败。
刘子厚,伪双鸭山地区保甲长,1938-1945,协助日军强征劳工修筑军事工事，克扣劳工口粮，私通日军宪兵队，迫害抗日嫌疑分子。
孙占元,伪宝清县警察署署长,1935-1945,亲自审讯并酷刑折磨抗联被俘人员，提供情报导致抗联密营被毁，参与“三光”政策行动。
高凤阁,伪双鸭山兴农合作社理事,1940-1945,为日军掠夺粮食和农产品，强迫农民“出荷”，对反抗者进行报复，勾结日伪军围剿抗联小分队。
马占山（注：此人为伪满时期宝清县教育界汉奸，非抗日将领马占山）,伪宝清县教育督学,1936-1945,推行奴化教育，强迫学校使用伪满教材，宣扬“日满亲善”，检举爱国教师和学生。
陈国良,伪双鸭山地区自卫团团长,1939-1945,率自卫团协助日军封锁山区，截断抗联补给线，多次伏击抗联运输队，杀害多名抗联战士。
周文焕,伪宝清县司法科承审员,1937-1945,以“反满抗日”罪名判处抗日志士死刑或重刑，伪造证据陷害无辜百姓，为日军镇压提供法律借口。
