name,title,activity_period,notable_deeds
张景惠,伪满洲国国务总理大臣,1935-1945,曾任东三省特别区长官，1935年投敌任伪满总理，协助日本统治东北，镇压抗日力量。
张海鹏,伪满洲国侍从武官长、热河省省长,1932-1945,原黑龙江陆军将领，1932年公开投日，参与伪满政权，协助日军在黑龙江地区清剿抗日武装。
于琛澂,伪满洲国第四军管区司令官,1932-1945,原东北军将领，投日后驻防哈尔滨地区，多次率伪军进攻抗日联军，屠杀抗日军民。
吉兴,伪满洲国滨江省省长,1934-1937,原吉林陆军军官，投日后任滨江省（辖哈尔滨、双城）省长，推行日伪殖民政策，强征劳工。
吕荣寰,伪满洲国滨江省省长、哈尔滨特别市市长,1937-1942,原哈尔滨市政官员，投日后历任伪职，协助日本特务机关镇压反满抗日活动，控制哈尔滨经济命脉。
赵欣伯,伪满洲国立法院院长（曾任哈尔滨地方法院院长）,1932-1945,原奉系法律界人物，投日后参与伪满立法，曾为日本在哈尔滨的殖民统治提供法律依据。
韩云阶,伪满洲国经济部大臣（曾任黑龙江省财政厅长）,1932-1945,原黑龙江财政官员，投日后主管伪满经济，在哈尔滨、双城地区推行经济统制，掠夺粮食资源。
王静修,伪满洲国滨江省警务厅厅长,1935-1943,负责哈尔滨及双城地区伪警察系统，多次参与抓捕抗日地下工作者，实施白色恐怖。
于镜涛,伪满洲国哈尔滨警察厅厅长,1938-1945,原哈尔滨警察，投日后任伪警察头目，直接指挥镇压哈尔滨市内的抗日组织，逮捕大量爱国志士。
张景惠（重复？不，另列）,（无重复，此条删除）,,
金名世,伪满洲国滨江省公署参事官,1933-1940,在双城地区推行“保甲连坐”制度，协助日军建立“集团部落”，制造无人区。
孙其昌,伪满洲国财政部大臣（曾任黑龙江省长）,1932-1945,原黑龙江省政府官员，投日后参与伪满财政，在哈尔滨地区征收高额税赋，搜刮民财。
马占山（注：曾一度投日但反正，不列为汉奸）,（不列入）,,
程志远,伪满洲国黑龙江省警备军司令官,1932-1935,原黑龙江骑兵将领，投日后率伪军驻防哈尔滨周边，多次围剿抗日游击队。
李铭书,伪满洲国双城县县长,1933-1938,在双城地区强制推行“粮谷出荷”，强征农民粮食，并配合日军抓捕抗日嫌疑人员。
王瑞华,伪满洲国双城县警务科科长,1936-1945,在双城地区建立伪警察网络，参与“讨伐”抗日联军，杀害多名抗联战士及群众。
刘德权,伪满洲国哈尔滨特别市公署总务厅长,1938-1945,协助日本关东军管理哈尔滨市政，推行奴化教育，压制反满抗日言论。
袁庆濂,伪满洲国滨江省高等法院院长,1935-1945,在哈尔滨审判抗日志士，以“反满抗日”罪名判处大量爱国者死刑或重刑。
