name,title,activity_period,notable_deeds
于琛澂,伪满洲国第四军管区司令官、滨江省省长,1932-1945,原东北军将领，1932年投敌，任伪满第四军管区司令，镇压抗日武装，后任滨江省（含哈尔滨）省长，推行日伪殖民政策。
张景惠,伪满洲国国务总理大臣（曾任哈尔滨特别市市长）,1932-1945,原奉系军阀，九一八后投日，1932年任伪哈尔滨特别市市长，后升任伪满国务总理，全面协助日本统治东北。
吕荣寰,伪满洲国滨江省省长、哈尔滨特别市市长,1932-1937,原哈尔滨特区行政长官，投日后任伪哈尔滨市长及滨江省长，参与奴化统治和经济掠夺。
韩云阶,伪满洲国滨江省省长、经济部大臣,1932-1945,原哈尔滨商人，投日后历任伪滨江省省长、伪经济部大臣，为日本搜刮物资，镇压反满抗日活动。
赵欣伯,伪满洲国立法院院长、哈尔滨律师协会会长,1932-1945,原奉系法律顾问，投日后参与伪满立法，曾任哈尔滨地区司法要职，为日伪统治提供法律依据。
袁庆濂,伪满洲国哈尔滨警察厅厅长,1932-1945,负责哈尔滨地区日伪警察特务工作，残酷镇压抗日地下组织，逮捕杀害多名爱国志士。
金荣桂,伪满洲国滨江省警务厅厅长,1933-1945,在呼兰、哈尔滨等地组织清乡讨伐，配合日军围剿抗联，制造多起屠杀事件。
王静修,伪满洲国第四军管区参谋长（驻哈尔滨）,1932-1945,原东北军军官，投日后参与指挥伪军对抗联部队作战，在呼兰地区多次“扫荡”。
李文光,伪满洲国呼兰县县长,1932-1938,在呼兰县推行保甲制度，强征劳工，协助日军建立“集团部落”，迫害抗日群众。
张鸿钧,伪满洲国呼兰县警务科科长,1933-1945,在呼兰地区抓捕抗联地下联络员，破坏抗日组织，参与“三光”政策行动。
刘德权,伪满洲国哈尔滨宪兵队翻译官,1932-1945,为日本宪兵队充当翻译，参与审讯酷刑，直接迫害抗日志士及无辜平民。
吴元敏,伪满洲国滨江省教育厅厅长,1934-1945,推行奴化教育，在哈尔滨、呼兰各学校强制灌输“日满亲善”，禁止中国历史教学。
