name,title,activity_period,notable_deeds
于琛澂,伪满洲国第四军管区司令官、伪滨江省省长,1932-1945,原东北军将领，投日后任伪满军事要职，参与镇压抗日武装，在哈尔滨及方正地区推行日伪统治，围剿抗联部队。
张景惠,伪满洲国国务总理大臣,1932-1945,原奉系军阀，九一八后投敌，任伪满最高行政长官，全面配合日本侵略政策，对黑龙江地区抗日活动进行残酷镇压。
韩云阶,伪黑龙江省省长、伪滨江省省长,1932-1935,原黑龙江省实业厅长，投日后任伪省长，积极推行日伪殖民政策，在哈尔滨、方正等地组织清乡，迫害抗日军民。
吕荣寰,伪哈尔滨特别市市长、伪滨江省省长,1932-1937,原哈尔滨特区行政长官，投日后任伪市长，协助日军建立特务统治，镇压反满抗日活动，参与经济掠夺。
赵欣伯,伪哈尔滨特别市市长,1932-1933,原奉系法律顾问，投日后任伪哈尔滨市长，为日军占领哈尔滨提供法律与行政支持，协助建立伪政权。
阎传绂,伪滨江省省长,1937-1940,原吉林省政府官员，投日后任伪滨江省省长，管辖哈尔滨及周边地区，推行“治安肃正”，对抗联进行多次讨伐。
孙其昌,伪黑龙江省省长、伪滨江省省长,1935-1937,原黑龙江省政府委员，投日后历任伪省长，在方正地区设立伪警察机构，协助日军抓捕抗日志士。
王静修,伪滨江省警务厅厅长,1933-1938,原哈尔滨警察头目，投日后负责伪滨江省警务，指挥警察与特务在哈尔滨、方正等地搜捕抗联地下组织。
金荣桂,伪哈尔滨警察厅厅长,1932-1940,原哈尔滨警察署长，投日后任伪警察厅长，直接参与制造多起屠杀事件，在方正地区实施“归屯并户”。
李文光,伪方正县县长,1932-1935,原方正县地方士绅，投日后任伪县长，为日军提供粮食物资，组织伪自卫团对抗抗联，迫害当地百姓。
张鸿钧,伪方正县县长,1936-1940,投日后任方正县伪县长，配合日军“三光政策”，在方正山区多次带路围剿抗联第三军。
刘德权,伪方正县警务科科长,1934-1942,原方正县警察，投日后任伪警务科长，指挥警察抓捕抗联交通员，破坏地下联络站，杀害多名抗日群众。
赵连璧,伪方正县协和会会长,1938-1945,投日后任伪协和会方正县会长，宣传“日满亲善”，组织汉奸团体，协助日军强征劳工与粮食。
王殿臣,伪哈尔滨保安队队长,1933-1940,原哈尔滨市警察，投日后任伪保安队长，参与镇压1933年哈尔滨电车工人罢工，在方正地区参与“讨伐”抗联。
李万发,伪滨江省警备队队长,1935-1943,投日后任伪警备队长，在方正、通河一带多次袭击抗联小分队，杀害抗日伤员，抢夺百姓财物。
张海鹏,伪满热河省省长（曾活动于黑龙江地区）,1932-1945,原奉系军阀，投日后任伪满军事顾问，曾率伪军参与对哈尔滨、方正地区抗联的围剿，烧毁村屯。
马占山（注：后反正，但初期投日）,伪黑龙江省省长（短暂投敌后反正）,1932,1932年2月一度投日任伪省长，但同年4月反正抗日，其投日期间未在方正地区有重大恶行，故列为历史争议人物。
程志远,伪黑龙江省警备司令,1932-1935,原黑龙江骑兵师长，投日后任伪警备司令，在哈尔滨周边及方正地区指挥伪军对抗联进行多次“清剿”。
苏炳文（注：后抗日，但初期投日）,伪海拉尔警备司令（短暂投敌）,1932,1932年一度投日，但随即反正，未在方正地区活动，仅列名参考。
梁禹廷,伪方正县参事官（日本人顾问下的汉奸）,1939-1945,投日后任伪方正县参事官，协助日本参事官管理县政，强征民夫修筑警备道路，迫害抗联家属。
