name,title,activity_period,notable_deeds
张景惠,伪满洲国国务总理大臣,1932-1945,原东北军将领，九一八后投敌，任伪满最高行政首脑，协助日本统治东北，镇压抗日力量。
张海鹏,伪满洲国侍从武官长、伪热河省长,1931-1945,原洮辽镇守使，率先投日，率部进攻抗日义勇军，后任伪满要职，参与对黑龙江地区的殖民统治。
于琛澂,伪满洲国第四军管区司令官,1932-1945,原吉林军将领，投日后在哈尔滨、道外一带镇压抗日武装，多次围剿赵尚志等抗联部队。
邢士廉,伪满洲国滨江省省长,1932-1945,原东北军旅长，投日后任滨江省（辖哈尔滨）省长，推行日伪法令，强征劳工，迫害反满抗日人士。
吕荣寰,伪满洲国滨江省省长、哈尔滨特别市市长,1932-1937,原哈尔滨特区行政长官，投日后主持哈尔滨市政，协助日本宪兵队搜捕地下党及抗联联络员。
韩云阶,伪满洲国黑龙江省省长,1932-1935,原黑龙江省实业厅长，投日后任伪省长，在齐齐哈尔及黑龙江各地推行“保甲连坐”，屠杀抗日群众。
赵欣伯,伪哈尔滨特别市市长、伪满洲国立法院院长,1932-1945,原奉系法律顾问，投日后首任伪哈尔滨市长，后任伪满立法院院长，参与制定镇压抗日的法令。
袁庆濂,伪满洲国滨江省警务厅长,1933-1945,在哈尔滨道外区设立特务机构，指挥警察抓捕抗日分子，破坏中共北满省委地下组织。
金荣桂,伪哈尔滨警察厅厅长,1932-1945,原哈尔滨警察头目，投日后任伪警察厅长，直接参与“四一五”大逮捕，杀害多名抗联地下工作者。
王静修,伪满洲国第四军管区参谋长,1933-1945,原东北军军官，投日后在哈尔滨、道外地区策划“讨伐”行动，烧毁抗联密营，残害百姓。
李文光,伪哈尔滨道外区区长,1932-1945,作为道外区汉奸头目，协助日军强征民夫修建军事设施，向宪兵队告密抗日嫌疑人员。
张德纯,伪哈尔滨道外区警察署署长,1933-1945,在道外区设立检查哨，搜捕抗联交通员，多次带队突袭民宅，没收抗日物资。
刘德权,伪满洲国滨江省高等法院院长,1932-1945,在哈尔滨审判抗日志士，判处大量爱国者死刑或长期监禁，是日伪司法镇压的帮凶。
孙其昌,伪满洲国财政部大臣（曾任黑龙江省财政厅长）,1932-1945,原黑龙江财政官员，投日后为日军筹措军费，在哈尔滨地区强征苛捐杂税，导致民不聊生。
阎传绂,伪满洲国滨江省教育厅长,1933-1945,在哈尔滨推行奴化教育，强制学校教授日语，删除中国历史内容，迫害爱国教师。
于镜涛,伪哈尔滨保安局局长,1932-1945,原哈尔滨保安队头目，投日后负责“治安肃正”，在道外区多次实施戒严，逮捕抗联嫌疑犯。
王瑞华,伪满洲国滨江省实业厅长,1934-1945,协助日本掠夺黑龙江粮食、木材资源，在道外区设立“配给所”，克扣百姓口粮。
赵仲仁,伪哈尔滨市公署总务处长,1932-1945,负责伪市府日常行政，配合日本关东军宪兵队清查“反满抗日”分子，多次参与大搜捕。
李绍庚,伪满洲国交通部大臣（曾任哈尔滨电业局长）,1932-1945,在哈尔滨任职期间，控制电力和交通，为日军军事运输提供便利，并克扣工人工资。
宋文郁,伪哈尔滨特别市警察局副局长,1933-1945,在道外区指挥特务活动，破坏抗联地下联络站，导致多名地下党员被捕牺牲。
