name,title,activity_period,notable_deeds
于琛澂,伪满洲国第四军管区司令官、滨江省省长,1932-1945,原东北军将领，1932年投敌，任伪满第四军管区司令，镇压抗日武装，后任滨江省省长，统治哈尔滨及阿城地区，推行日伪殖民政策。
张景惠,伪满洲国国务总理大臣（曾任哈尔滨特别市市长）,1932-1945,原奉系军阀，九一八后投日，1932年任伪哈尔滨特别市市长，后升任伪满国务总理，全面协助日本统治东北，包括黑龙江地区。
韩云阶,伪满洲国滨江省省长、财政部大臣,1932-1945,原哈尔滨富商，投日后任伪滨江省省长，管辖哈尔滨、阿城等地，积极推行日伪经济统制，镇压反满抗日活动。
吕荣寰,伪满洲国滨江省省长、司法部大臣,1932-1945,原哈尔滨特区行政长官，投日后任伪滨江省省长，在哈尔滨地区协助日军建立伪政权，参与“治安肃正”行动。
赵欣伯,伪满洲国立法院院长（曾任哈尔滨地方法院院长）,1932-1945,原哈尔滨律师，投日后任伪哈尔滨地方法院院长，后升伪满立法院院长，为日伪司法镇压提供法律依据。
金名世,伪满洲国滨江省省长、交通部大臣,1933-1945,满族贵族，投日后历任伪滨江省省长，在哈尔滨、阿城地区推行“保甲连坐”制度，协助日军围剿抗联。
阎传绂,伪满洲国滨江省民政厅厅长、哈尔滨市市长,1932-1945,原吉林省政府官员，投日后任伪滨江省民政厅长，后任伪哈尔滨市长，负责城市治安和奴化教育。
张绍堂,伪哈尔滨警察厅厅长,1932-1945,原哈尔滨警察头目，投日后任伪警察厅长，直接指挥逮捕、刑讯抗日志士，制造多起惨案。
王瑞华,伪阿城县县长,1932-1945,投日后任伪阿城县县长，在阿城地区推行日伪“归屯并户”，强征劳工，镇压当地抗日武装。
李铭新,伪阿城县警察署署长,1933-1945,在阿城地区组织伪警察队，多次参与“讨伐”抗联部队，杀害抗日军民，搜捕地下党员。
高云昆,伪哈尔滨特别市公署参事,1932-1945,原哈尔滨商会头目，投日后协助日伪经济统制，为日军筹集物资，出卖抗日情报。
孙其昌,伪满洲国财政部大臣（曾任滨江省财政厅长）,1932-1945,原黑龙江省财政官员，投日后任伪滨江省财政厅长，在哈尔滨、阿城地区强征苛捐杂税，搜刮民财。
