name,title,activity_period,notable_deeds
于琛澂,伪满洲国第四军管区司令官、伪滨江省省长,1932-1945,原东北军将领，投日后任伪满军事要职，参与镇压抗日武装，在黑龙江地区（含呼中周边）协助日军清剿抗联部队。
张景惠,伪满洲国国务总理大臣,1932-1945,原奉系军阀，九一八后投日，任伪满最高行政长官，全面推行殖民政策，对黑龙江地区抗日活动进行残酷镇压。
赵欣伯,伪满洲国立法院院长、伪哈尔滨特别市市长,1932-1945,原哈尔滨律师，投日后任伪哈尔滨市长，协助日军建立殖民统治，镇压当地反满抗日力量。
韩云阶,伪满洲国黑龙江省省长、伪经济部大臣,1932-1945,原黑龙江省实业厅长，投日后任伪省长，推行日伪经济掠夺政策，参与围剿大兴安岭地区抗联部队。
吕荣寰,伪满洲国滨江省省长、伪司法部大臣,1932-1945,原哈尔滨特区行政长官，投日后任伪职，协助日军在黑龙江地区建立保甲制度，迫害抗日军民。
于镜涛,伪满洲国哈尔滨警察厅厅长、伪滨江省警务厅长,1932-1945,原哈尔滨警察，投日后任伪警头目，直接指挥特务警察搜捕抗联地下组织，在呼中及大兴安岭边缘地区进行“讨伐”。
金荣桂,伪满洲国黑河省省长,1934-1945,原黑河地区官僚，投日后任伪省长，配合日军对黑龙江北部及大兴安岭林区进行封锁和“清剿”。
夏鸿钧,伪满洲国兴安北省省长（辖呼伦贝尔及大兴安岭西麓）,1932-1945,原呼伦贝尔副都统，投日后任伪兴安北省省长，协助日军控制大兴安岭地区，镇压当地蒙古族和鄂伦春族抗日活动。
凌升,伪满洲国兴安北省省长（早期）,1932-1936,原呼伦贝尔总管，投日后任伪省长，后因与日军产生矛盾被处决，但在任期间曾配合日军对大兴安岭地区进行统治。
乌尔金,伪满洲国兴安军司令官（驻大兴安岭地区）,1933-1945,蒙古族贵族，投日组织伪兴安骑兵，参与对大兴安岭抗日游击队的多次围剿，残害抗联战士及平民。
郭文林,伪满洲国兴安军第10团团长（驻呼中附近）,1935-1945,蒙古族军官，率伪军在大兴安岭呼中、呼玛一带搜捕抗联第三路军，烧毁村屯，屠杀支援抗联的百姓。
王永清,伪满洲国黑河省警察讨伐队队长,1938-1945,原土匪头目，投日后任伪警察讨伐队长，专门在大兴安岭北麓和呼中林区追踪抗联部队，多次制造惨案。
刘兴邦,伪满洲国呼玛县县长（辖呼中地区）,1934-1945,投日后任呼玛县伪县长，推行“集团部落”政策，强迫呼中地区鄂伦春族和汉族居民迁移，切断抗联补给。
张海鹏,伪满洲国热河省省长（曾参与黑龙江北部“讨伐”）,1932-1945,原奉系军阀，投日后任伪省长，曾派伪军协助日军在大兴安岭东部地区围剿抗联，烧毁多处密营。
李守信,伪蒙古军总司令（活动范围含大兴安岭西麓）,1933-1945,原热河地方武装头目，投日后任伪蒙军司令，多次配合日军对大兴安岭地区抗日武装进行军事“扫荡”。
陈鸿猷,伪满洲国黑河省警务厅特务科长,1937-1945,负责黑河及大兴安岭北部特务工作，组织密探潜入呼中林区，破坏抗联地下交通线，逮捕多名抗联联络员。
关庆山,伪满洲国呼中地区山林警察队队长,1939-1945,原鄂伦春族猎户，投日后任山林警察队长，熟悉大兴安岭地形，引导日军袭击抗联第三路军后方基地。
孟昭田,伪满洲国漠河县县长（辖呼中西北部）,1935-1945,投日后任漠河伪县长，配合日军在黑龙江上游及大兴安岭林区设立检查站，截杀抗联运输队。
赵殿臣,伪满洲国呼玛县警察署署长,1938-1945,在呼中地区组织“自卫团”，协助日军搜捕抗联伤员，多次带队袭击抗联密营，杀害被俘人员。
白凤翔,伪满洲国兴安军骑兵旅旅长（驻大兴安岭南麓）,1934-1945,原东北军军官，投日后任伪骑兵旅长，率部在呼中、松岭等地追击抗联小分队，造成抗联重大损失。
