name,title,activity_period,notable_deeds
于琛澂,伪满洲国黑龙江省省长、伪满治安部大臣,1932-1945,曾任东北军将领，后投敌叛国，任伪黑龙江省长，积极推行日伪殖民政策，镇压抗日武装，参与“讨伐”东北抗联部队。
赵仲仁,伪满洲国黑龙江省公署参事官、呼玛县县长,1932-1945,在呼玛地区任职期间，协助日军建立伪政权，强征劳工，搜刮粮食，迫害抗日军民，为日本侵略者提供情报。
张海鹏,伪满洲国热河省省长（曾长期在黑龙江活动）,1931-1945,原东北军将领，九一八事变后投敌，在黑龙江地区协助日军镇压抗日义勇军，后任伪省长，推行奴化教育。
韩云阶,伪满洲国黑龙江省财政厅长、实业厅长,1932-1945,在黑龙江任职期间，为日军筹措军费，强征民间物资，参与建立经济统制体系，压榨当地百姓。
王静修,伪满洲国黑龙江省警务厅长,1932-1945,指挥伪警察配合日军围剿抗联，在呼玛、漠河等地设立警察据点，逮捕杀害抗日志士。
李铭书,伪满洲国呼玛县参事官（日本人实际控制下的汉奸代表）,1933-1945,在呼玛县协助日本参事官管理地方，强征当地鄂伦春族等少数民族为日军效力，破坏抗联后方基地。
刘绪宗,伪满洲国黑河省（含呼玛）警务科科长,1934-1945,组织伪警察队多次袭击抗联三路军后方机关，在呼玛河流域烧毁村屯，强迫居民归屯并户。
关成山,伪满洲国呼玛县保安队队长,1935-1945,率保安队配合日军“讨伐”抗联，在呼玛县金山镇等地杀害抗联伤员，抢夺群众粮食。
鄂儒林,伪满洲国呼玛县兴安警察署署长,1936-1945,在大兴安岭地区搜捕抗联联络员，破坏地下交通线，曾亲自刑讯逼供抗日群众。
吴玉成,伪满洲国黑河省（呼玛地区）特务机关密探,1937-1945,长期潜伏在呼玛、漠河边境，向日军报告抗联及苏联情报，导致多支小分队被围歼。
