name,title,activity_period,notable_deeds
张海鹏,伪满热河省省长、伪满军政部大臣,1931-1945,原东北军将领，1931年九一八事变后投敌，任伪满热河省省长，后任伪满军政部大臣，参与镇压抗日武装，协助日军统治黑龙江地区。
于琛澂,伪满第四军管区司令、伪满治安部大臣,1932-1945,原东北军旅长，1932年投降日军，任伪满第四军管区司令（驻哈尔滨），后升任伪满治安部大臣，多次率伪军“讨伐”抗日联军，残害抗联将士。
赵欣伯,伪满立法院院长、伪满哈尔滨特别市市长,1932-1945,原奉系政客，九一八后投日，曾任伪哈尔滨特别市市长，后任伪满立法院院长，积极推行奴化政策，协助日本殖民统治。
吕荣寰,伪满哈尔滨特别市市长、伪满民生部大臣,1932-1945,原哈尔滨特别市市长，1932年投敌，后任伪满民生部大臣，参与制定并实施对东北人民的奴役政策。
韩云阶,伪满黑龙江省省长、伪满经济部大臣,1932-1945,原黑龙江省实业厅长，1932年投敌，任伪黑龙江省省长，后任伪满经济部大臣，为日军搜刮物资，镇压反满抗日活动。
孙其昌,伪满黑龙江省省长、伪满财政部大臣,1932-1945,原黑龙江省财政厅长，投日后任伪黑龙江省省长，后任伪满财政部大臣，协助日本控制黑龙江经济命脉。
王静修,伪满滨江省省长（驻哈尔滨）,1934-1945,原东北地方官员，投日后任伪满滨江省省长，管辖哈尔滨及周边地区，积极推行日伪法令，镇压抗日力量。
于镜涛,伪满哈尔滨警察厅厅长、伪满滨江省警务厅长,1932-1945,原哈尔滨警察头目，投日后任伪哈尔滨警察厅厅长，后升任滨江省警务厅长，大肆搜捕抗日志士，制造多起惨案。
金荣桂,伪满黑龙江省警务厅长,1932-1945,原黑龙江省警察头目，投日后任伪省警务厅长，组织伪警察配合日军“讨伐”抗联，残害百姓。
张景惠,伪满国务总理大臣（原黑龙江地区军阀）,1931-1945,原奉系将领，曾任黑龙江省长，九一八后投日，后任伪满国务总理大臣，虽主要活动于新京，但长期控制黑龙江伪政权，是头号汉奸。
马占山,（注：曾短暂投日，后反正）,1932,原黑龙江省代主席，1932年2月一度投降日军，任伪黑龙江省长，但4月反正抗日，故不列为固定汉奸，但历史上有投敌记录。
程志远,伪满黑龙江省警备司令,1932-1933,原黑龙江省骑兵师长，1932年随马占山投日，后任伪省警备司令，马占山反正后仍效忠日军，参与围剿抗日部队。
张文铸,伪满第三军管区司令（驻齐齐哈尔）,1932-1945,原东北军军官，投日后任伪满第三军管区司令，驻齐齐哈尔，多次率伪军进攻抗联，屠杀抗日军民。
王殿忠,伪满滨江省警务厅长（后任）,1935-1945,原哈尔滨警察，投日后升任滨江省警务厅长，参与策划对东北抗联的“大讨伐”，抓捕大量地下党员。
李铭书,伪满黑龙江省教育厅长,1932-1945,原黑龙江省教育界人士，投日后任伪省教育厅长，推行奴化教育，篡改历史，毒害青少年。
赵仲仁,伪满黑龙江省民政厅长,1932-1945,原黑龙江省官员，投日后任伪省民政厅长，协助日伪建立保甲制度，强化殖民统治。
刘德权,伪满大庆地区（今大庆市）地方维持会长,1932-1945,原地方士绅，日军占领后出任大庆地区（当时为安达县、肇州县等）维持会长，为日军征粮派夫，欺压百姓。
张明轩,伪满安达县县长（今大庆市安达市）,1932-1945,投日后任伪安达县县长，积极推行日伪苛政，强征劳工，协助日军镇压当地抗日活动。
王佐才,伪满肇州县县长（今大庆市肇州县）,1932-1945,投日后任伪肇州县县长，组织伪县公署，配合日军“清乡”，迫害抗日家属。
李春润,伪满杜尔伯特旗旗长（今大庆市杜尔伯特蒙古族自治县）,1932-1945,原蒙古族上层，投日后任伪旗长，协助日军控制蒙古族地区，征募伪军。
