name,title,activity_period,notable_deeds
张景惠,伪满洲国参议府议长、伪满洲国国务总理大臣,1931-1945,辽宁台安人，九一八事变后投敌，历任伪满洲国军政部总长、参议府议长、国务总理大臣等职，为伪满政权核心人物之一，参与推行日本殖民统治政策，其活动范围覆盖东北全境，包括今黑龙江大庆地区。
熙洽,伪满洲国财政部总长、伪吉林省长,1931-1945,清末宗室，九一八事变后率先投敌，组织伪吉林省政权，后任伪满洲国财政部总长等职，积极协助日本侵略者控制东北财政与经济，其影响波及黑龙江地区。
于琛澂,伪满洲国军上将、伪第四军管区司令官,1931-1945,黑龙江双城人，九一八事变后投敌，历任伪吉林省剿匪司令、伪第四军管区司令官等职，率伪军配合日军镇压东北抗日武装，活动范围包括今黑龙江大庆一带。
王殿忠,伪满洲国军中将、伪江防舰队司令,1931-1945,原东北军军官，九一八事变后投敌，曾任伪满洲国江防舰队司令、伪军管区司令等职，参与封锁松花江流域并配合日军讨伐抗日力量，活动涉及大庆周边地区。
张海鹏,伪满洲国军上将、伪洮辽镇守使,1931-1945,原东北军洮辽镇守使，九一八事变后投敌，率部配合日军进攻黑龙江，参与攻占齐齐哈尔等地，其伪军活动范围覆盖今大庆地区。
程志远,伪满洲国军中将、伪黑龙江省警备司令,1931-1945,原东北军骑兵旅长，九一八事变后投敌，任伪黑龙江省警备司令，配合日军镇压黑龙江抗日武装，活动范围包括今大庆红岗一带。
吉祥,伪满洲国军少将、伪安达县警察大队长,1931-1945,在伪满时期于安达县（今大庆市安达地区，邻近红岗）担任伪警察大队长，协助日军维持治安、搜捕抗日人员，属地方伪警头目。
李维周,伪肇州县维持会会长,1931-1945,伪满时期在肇州县（今大庆市肇州县，邻近红岗）组织维持会，协助日军建立殖民统治秩序，推行保甲制度，为地方附逆者。
赵仲仁,伪满洲国黑龙江省公署参事官,1931-1945,伪满时期在黑龙江省公署任职，参与推行日本殖民政策，协助日军控制地方行政，其活动范围覆盖今大庆地区。
韩云阶,伪满洲国经济部大臣、伪黑龙江省长,1931-1945,辽宁金县人，九一八事变后投敌，历任伪黑龙江省长、伪经济部大臣等职，协助日本掠夺东北经济资源，其施政范围包括今大庆地区。
