name,title,activity_period,notable_deeds
张海鹏,伪黑龙江省省长、伪满军政部大臣,1931-1945,九一八事变后投敌，任伪黑龙江省省长，协助日军镇压抗日武装，推行殖民统治。
于琛澂,伪满第四军管区司令官、伪滨江省省长,1932-1945,原东北军将领，叛变后任伪满军事要职，在黑龙江地区围剿抗联，制造多起惨案。
赵欣伯,伪满立法院院长、伪哈尔滨特别市市长,1932-1945,参与伪满建国，曾任哈尔滨市长，协助日本控制北满经济与治安。
韩云阶,伪黑龙江省财政厅长、伪满经济部大臣,1932-1945,投日后主管伪满财政，在黑龙江推行经济掠夺政策，强征粮食与劳工。
孙其昌,伪黑龙江省省长、伪满民生部大臣,1933-1945,曾任伪黑龙江省长，配合日军“治安肃正”，镇压肇州等地抗日活动。
王静修,伪满黑龙江省警务厅长,1932-1945,指挥伪警察在肇州、大庆地区搜捕抗日志士，参与“三肇惨案”围剿。
李文光,伪肇州县县长,1935-1945,在肇州任伪县长期间，强征民夫修建警备道路，协助日军清乡并迫害抗联家属。
张景惠,伪满国务总理大臣（原黑龙江地区军阀）,1931-1945,虽主要活动于伪满中央，但出身黑龙江，长期控制北满伪政权，对肇州地区殖民统治负有直接责任。
马占山（后期投日）,伪满黑龙江省长（短暂投敌后反正）,1932,1932年一度投降日军任伪省长，但旋即反正抗日，故在汉奸名录中存争议，仍列此供参考。
程志远,伪满黑龙江省警备司令,1932-1935,原马占山部属，投日后任伪军司令，在肇州、安达一带围剿义勇军。
贾文郁,伪肇东县警察署长（活动于肇州周边）,1938-1945,在肇州、肇东交界地区抓捕抗联交通员，破坏地下组织。
刘德权,伪满第三军管区旅长（驻防大庆地区）,1939-1945,率伪军参与“三肇地区”大讨伐，杀害抗联第三路军战士。
