name,title,activity_period,notable_deeds
赵郁卿,密山县伪县长,1932-1945年,任伪密山县县长期间，积极推行日伪殖民政策，协助日军镇压抗日武装，强征劳工，搜刮民财，为日本侵略者提供物资和情报。
张德新,密山县伪警察署署长,1933-1945年,指挥伪警察配合日军“讨伐”抗日联军，抓捕抗日志士，实施“归屯并户”，制造无人区，残害百姓。
李万春,密山县伪保安队队长,1934-1945年,率伪保安队多次袭击抗联密营，杀害抗联伤员和群众，参与“三光”政策，烧毁村屯，抢夺粮食。
王佐臣,鸡西（鸡宁）县伪县长,1935-1945年,在鸡西地区强制推行“粮谷出荷”，强征农民粮食，组织劳工为日军开采煤炭，镇压反满抗日活动，迫害矿工。
刘德山,鸡西煤矿伪矿长,1936-1945年,管理鸡西煤矿期间，残酷压榨中国矿工，实行“人肉开采”，导致大量矿工死亡，并配合日军将矿工充当细菌实验对象。
高凤阁,密山县伪协和会会长,1937-1945年,组织“协和会”宣传奴化思想，搜集抗日情报，告密抗联活动，协助日军逮捕地下党员和爱国群众。
孙玉堂,鸡西地区伪自卫团团长,1938-1945年,率自卫团配合日军封锁山区，破坏抗联交通线，参与屠杀抗联战士及无辜村民，抢夺财物。
周焕章,密山县伪司法科科长,1939-1945年,审理抗日案件时严刑逼供，判处多名抗联人员死刑，并协助日军建立“矫正院”，关押迫害爱国人士。
陈国栋,鸡西县伪警务科科长,1940-1945年,指挥特务警察破坏抗联地下联络站，逮捕多名交通员，实施“大检举”，导致数十名抗日群众被杀害。
吴殿臣,密山县伪兴农合作社理事长,1941-1945年,强制推行“出荷粮”制度，搜刮农民粮食供应日军，致使当地发生严重饥荒，饿死百姓无数。
