name,title,activity_period,notable_deeds
张景惠,伪满洲国参议府议长、伪满洲国国务总理大臣,1931-1945,辽宁台安人，九一八事变后投敌，历任伪满军政部总长、参议府议长、国务总理大臣等职，为伪满洲国最高层汉奸之一，其伪政权统治覆盖黑龙江地区。
熙洽,伪满洲国财政部总长、伪满吉林省长,1931-1945,清朝宗室后裔，九一八事变后率先投敌，引日军占领吉林，并参与策划建立伪满洲国，其影响波及东北全境包括黑龙江。
臧式毅,伪满洲国民政部总长、伪奉天省长,1931-1945,原东北军将领，被俘后投敌，历任伪满民政部总长、奉天省长等职，参与伪满政权对东北人民的统治。
于琛澂,伪满洲国军上将、伪第四军管区司令官,1931-1945,原东北军将领，九一八事变后投敌，率伪军配合日军进攻黑龙江抗日武装，活动于哈尔滨、牡丹江、鸡西一带。
王殿忠,伪满洲国军中将、伪牡丹江军区司令,1932-1945,原东北军军官，投敌后任伪军将领，率部在牡丹江、鸡西地区围剿抗日联军，镇压当地抗日活动。
李华堂,伪满洲国军少将、伪三江省保安司令,1932-1945,原抗日武装人员，后叛变投敌，任伪军将领，在黑龙江东部三江地区配合日军围剿抗日联军。
谢文东,伪满洲国军少将、伪勃利县保安团长,1939-1945,原东北抗日联军第八军军长，1939年叛变投敌，任伪职，在勃利、鸡西一带协助日军镇压抗日力量。
郑鲁岩,伪满洲国军少将、伪东安省保安司令,1933-1945,投敌后任伪军将领，在东安省（今鸡西、密山一带）配合日军围剿抗日联军，镇压当地民众。
张魁恩,伪鸡西县维持会会长,1932-1935,鸡西地区投敌分子，组织维持会迎接日军占领，协助日军征粮、派夫，镇压当地抗日活动。
刘文清,伪鸡宁县县长,1934-1945,伪鸡宁县（今鸡西）县长，执行日伪统治政策，推行保甲连坐，征劳工、征粮，配合日军围剿抗日武装。
赵振邦,伪鸡西炭矿株式会社劳务系主任,1936-1945,在鸡西煤矿为日军管理劳工，残酷压榨矿工，协助日军镇压矿工反抗，是经济领域附逆者。
孙凤阁,伪鸡冠山保保长,1935-1945,鸡冠山地区保长，执行日伪保甲制度，监视民众，举报抗日人员，协助日军维持地方统治。
王明远,伪鸡西县警察署署长,1937-1945,伪鸡西县警察头目，率伪警察配合日军搜捕抗日人员，镇压当地抗日活动，残害民众。
李树春,伪东安省教育厅厅长,1939-1945,在东安省（含鸡西地区）推行奴化教育，篡改历史，强制教授日语，为日伪统治培养顺民。
陈国栋,伪满洲国协和会鸡西分会会长,1938-1945,在鸡西地区组织协和会，进行反动宣传，协助日军征劳工、征粮，监视民众思想。
