name,title,activity_period,notable_deeds
张海鹏,伪满热河省省长（曾任黑龙江地区军事职务）,1931-1945,原东北军将领，九一八后投敌，在黑龙江地区协助日军镇压抗日武装，后任伪满高官。
于琛澂,伪满第四军管区司令（驻黑龙江）,1932-1945,原吉林军军官，投日后在黑龙江、松花江流域围剿抗联，制造多起屠杀事件。
赵欣伯,伪满立法院院长（曾任哈尔滨地区司法职务）,1932-1945,参与伪满政权建立，在哈尔滨等地推行殖民法律，协助镇压反满抗日活动。
韩云阶,伪满黑龙江省省长,1932-1935,原黑龙江省官员，投日后任伪省长，强征粮税，配合日军清剿抗联。
孙其昌,伪满黑龙江省省长（后任伪满财政部大臣）,1935-1940,在黑龙江推行经济统制，掠夺资源，协助日军建立殖民统治。
王静修,伪满三江省省长（辖鹤岗、绥滨地区）,1934-1937,在三江地区（含绥滨、鹤岗）残酷镇压抗联，推行归屯并户，制造无人区。
卢元善,伪满三江省省长（后任伪满民生部大臣）,1937-1941,在鹤岗、绥滨一带强化保甲制度，抓捕抗日群众，配合日军“讨伐”行动。
阎传绂,伪满三江省省长（末期）,1941-1945,在绥滨、鹤岗地区强制劳工开采煤矿，迫害矿工，镇压反满活动。
李铭书,伪满鹤岗煤矿株式会社理事长,1932-1945,管理鹤岗煤矿，奴役中国矿工，为日军提供战略煤炭，造成大量矿工死亡。
张景惠,伪满国务总理大臣（原黑龙江地区军阀）,1931-1945,九一八后投日，虽居高位，但早期在哈尔滨一带活动，支持日军占领黑龙江，其势力影响鹤岗、绥滨地区。
马占山（注：曾一度投日，后反正，但初期有变节行为）,伪满黑龙江省省长（短暂投日时期）,1932（短暂）,1932年2月一度投降日军，任伪省长，但4月反正，故不列入正式汉奸名录，此处仅作历史备注。
程志远,伪满黑龙江省警备司令,1932-1933,原马占山部将，随马占山投日后，在齐齐哈尔、绥化等地协助日军进攻抗日义勇军。
张文铸,伪满第四军管区司令（驻佳木斯，辖绥滨）,1933-1939,在佳木斯、绥滨、鹤岗一带指挥伪军多次围剿抗联，杀害抗联战士及平民。
王殿忠,伪满三江省警务厅长,1935-1940,在绥滨、鹤岗地区建立警察网络，抓捕抗联地下组织，实施酷刑。
曹瑞麟,伪满鹤岗县县长（伪满时期鹤岗为县）,1933-1937,在鹤岗推行“治安肃正”，强征民夫修筑警备道路，协助日军清乡。
刘德权,伪满绥滨县县长,1934-1938,在绥滨县组织“自卫团”，配合日军扫荡，强征粮食，迫害抗联家属。
赵连璧,伪满绥滨县警务科科长,1936-1943,在绥滨县多次带队袭击抗联小分队，逮捕并杀害抗日志士。
张荣久,伪满鹤岗煤矿劳务课长,1938-1945,负责从华北等地骗招劳工至鹤岗煤矿，克扣口粮，致数千劳工死亡。
李春润（注：同名抗联烈士，此处为伪满汉奸，需区分）,伪满三江省地方保安队队长,1939-1945,在绥滨、萝北一带为日军充当向导，参与“讨伐”抗联，烧毁村庄。
王永清,伪满鹤岗地区“协和会”会长,1937-1945,宣传“日满亲善”，组织告密网，破坏抗日活动，协助日军抓捕反满分子。
