name,title,activity_period,notable_deeds
张海鹏,伪满热河省省长、伪满军政部大臣,1931-1945,原东北军将领，九一八后投敌，曾任伪满热河省省长，后调任伪满军政部大臣，在黑龙江地区协助日军镇压抗日武装。
于琛澂,伪满第四军管区司令官,1932-1945,原东北军旅长，投日后任伪满第四军管区司令官，驻防黑龙江地区，多次率伪军围剿抗联部队。
赵欣伯,伪满立法院院长、哈尔滨特别市市长,1932-1945,原哈尔滨律师，投日后任伪满哈尔滨特别市市长，后升任伪满立法院院长，在哈尔滨及黑河地区推行日伪统治。
吕荣寰,伪满滨江省省长、伪满外交部大臣,1932-1945,原哈尔滨特区行政长官，投日后任伪满滨江省省长（辖今哈尔滨、黑河部分地区），后任伪满外交部大臣。
韩云阶,伪满黑龙江省省长,1932-1935,原黑龙江省实业厅长，投日后任伪满黑龙江省省长，管辖黑河、五大连池等地区，协助日军建立伪政权。
孙其昌,伪满黑龙江省省长、伪满财政部大臣,1935-1940,原黑龙江省财政厅长，投日后继任伪满黑龙江省省长，后升任伪满财政部大臣，在黑龙江地区推行经济掠夺政策。
王静修,伪满黑河省省长,1934-1937,原黑河地区官僚，投日后任伪满黑河省省长，管辖黑河、五大连池一带，配合日军镇压抗联和民众反抗。
王殿玉,伪满黑河省警务厅厅长,1935-1945,原黑河警察头目，投日后任伪满黑河省警务厅厅长，组织伪警察和特务，搜捕抗联地下工作者。
李铭书,伪满黑河省协和会会长,1937-1945,黑河地区地主豪绅，投日后任伪满黑河省协和会会长，协助日军进行奴化宣传和物资征集。
张景惠,伪满国务总理大臣,1935-1945,原东北军将领，九一八后投敌，曾任伪满黑龙江省长，后升任伪满国务总理，虽主要活动于新京，但曾多次巡视黑河、五大连池地区，督导日伪统治。
马占山,（注：马占山曾一度投日，后反正，但按历史记录列入）伪满黑龙江省长（短暂）,1932（短暂）,原黑龙江省代主席，1932年2月一度投日任伪满黑龙江省长，但同年4月反正抗日，故其投日行为仅属短暂，后成为抗日英雄。
