name,title,activity_period,notable_deeds
张景惠,伪满洲国参议府议长、伪满洲国国务总理大臣,1931-1945,辽宁台安人，九一八事变后投敌，历任伪满洲国军政部总长、参议府议长、国务总理大臣等职，为伪满政权核心人物之一，参与推行日本殖民统治政策，其活动范围覆盖东北全境，包括黑龙江、齐齐哈尔地区。
熙洽,伪满洲国财政部总长、伪吉林省长,1931-1945,清朝宗室后裔，九一八事变后率先投敌，组织伪吉林省政权，后任伪满洲国财政部总长等职，积极参与伪满政权建设，其影响波及东北各省包括黑龙江地区。
臧式毅,伪满洲国民政部总长、伪奉天省长,1931-1945,辽宁沈阳人，九一八事变后被俘投敌，历任伪奉天省长、伪满洲国民政部总长等职，协助日本推行殖民统治，其活动范围涉及东北全境。
于芷山,伪满洲国军政部大臣、伪奉天警备司令,1931-1945,辽宁台安人，原东北军将领，九一八事变后投敌，历任伪奉天警备司令、伪满洲国军政部大臣等职，率伪军配合日军镇压东北抗日武装，活动范围包括黑龙江地区。
张海鹏,伪满洲国热河省省长、伪洮辽镇守使,1931-1945,辽宁盖平人，原东北军将领，九一八事变后投敌，任伪洮辽镇守使，率伪军进攻黑龙江，参与江桥战役配合日军侵略齐齐哈尔地区。
马占山,伪满洲国黑龙江省省长（后反正抗日）,1932,吉林怀德人，原东北军将领，江桥抗战后一度降日任伪黑龙江省省长，但不久即反正重新抗日，其短暂附逆期间与齐齐哈尔、克山地区有直接关联。
程志远,伪满洲国黑龙江省警备司令、伪黑龙江省长,1932-1945,原东北军骑兵将领，马占山降日期间任伪黑龙江省警备司令，后任伪黑龙江省长，积极配合日军镇压黑龙江抗日力量，活动范围覆盖齐齐哈尔、克山等地。
王殿忠,伪满洲国黑龙江省警备司令部司令,1932-1945,原东北军军官，投敌后任伪黑龙江省警备司令部司令，协助日军维持黑龙江地区治安，镇压抗日武装，活动范围包括齐齐哈尔及周边克山等县。
赵仲仁,伪满洲国黑龙江省公署厅长,1932-1945,黑龙江地方士绅，投敌后任伪黑龙江省公署要职，协助日军推行殖民政策，参与地方伪政权建设，活动于齐齐哈尔地区。
韩云阶,伪满洲国黑龙江省公署参事官、伪滨江省长,1932-1945,辽宁金县人，投敌后历任伪黑龙江省公署参事官、伪滨江省长等职，参与伪满地方政权运作，其活动涉及黑龙江地区。
金名世,伪满洲国黑龙江省公署厅长、伪三江省长,1932-1945,投敌后历任伪黑龙江省公署厅长、伪三江省长等职，协助日本在黑龙江地区推行殖民统治。
于镜涛,伪满洲国哈尔滨警察厅长、伪滨江省长,1932-1945,投敌后历任伪哈尔滨警察厅长、伪滨江省长等职，镇压哈尔滨及周边地区抗日活动，其辖区与齐齐哈尔地区相邻。
李维周,伪满洲国齐齐哈尔警察厅厅长,1932-1945,投敌后任伪齐齐哈尔警察厅厅长，负责齐齐哈尔地区治安，镇压抗日分子，配合日军维持殖民统治。
杨乃时,伪满洲国齐齐哈尔市市长,1932-1945,投敌后任伪齐齐哈尔市市长，协助日军管理齐齐哈尔市政，推行殖民政策。
王宾章,伪满洲国齐齐哈尔市商会会长,1932-1945,齐齐哈尔商界人物，投敌后任伪齐齐哈尔市商会会长，协助日军经济掠夺，为伪政权筹款筹物。
张星桥,伪满洲国克山县县长,1932-1945,投敌后任伪克山县县长，在克山地区推行保甲制度，协助日军征粮征兵，镇压抗日活动。
刘允升,伪满洲国克山县维持会会长,1932-1933,克山地方士绅，日军侵占克山后组织维持会并任会长，协助日军维持地方秩序，为伪政权建立做准备。
陈万金,伪满洲国克山县警察署署长,1932-1945,投敌后任伪克山县警察署署长，率伪警察配合日军讨伐抗日武装，镇压克山地区抗日群众。
孙文焕,伪满洲国黑龙江省立齐齐哈尔师范学校校长,1932-1945,教育界附逆者，任伪齐齐哈尔师范学校校长，推行奴化教育，宣传“日满亲善”，毒害青年学生。
赵锡九,伪满洲国齐齐哈尔协和会会长,1932-1945,投敌后任伪齐齐哈尔协和会会长，协助日军进行思想控制和社会动员，推行殖民文化政策。
张明久,伪满洲国克山县协和会会长,1932-1945,克山地方人物，任伪克山县协和会会长，配合日军进行宣传和民众控制，协助推行殖民政策。
王守先,伪满洲国克山县保甲长,1933-1945,克山地方保甲长，协助日军和伪县公署征收粮款、监视民众，举报抗日分子，维持基层殖民统治。
李春芳,伪满洲国克山县自卫团团长,1933-1945,投敌后任伪克山县自卫团团长，率地方武装配合日军讨伐队进攻抗日游击队，镇压克山地区抗日活动。
