name,title,activity_period,notable_deeds
张海鹏,伪满热河省省长、伪满军政部大臣,1931-1945,原东北军将领，1931年投敌，后任伪满要职，协助日军镇压抗日力量，其势力曾涉及黑龙江地区
于琛澂,伪满第四军管区司令、伪满治安部大臣,1932-1945,原东北军团长，1932年投敌，在黑龙江、齐齐哈尔等地率伪军围剿抗日武装，制造多起惨案
赵欣伯,伪满立法院院长,1932-1945,原奉系政客，参与伪满建国，在黑龙江地区推行殖民政策，协助日本关东军统治
韩云阶,伪满黑龙江省省长（1934-1937）,1934-1945,原黑龙江省实业厅长，投日后任伪省长，在齐齐哈尔、富裕一带强征粮税，镇压反满抗日活动
孙其昌,伪满黑龙江省省长（1937-1939）,1937-1939,原东北军文职官员，投日后任伪省长，在齐齐哈尔地区推行“治安肃正”，协助日军清剿抗联
王静修,伪满黑龙江省省长（1939-1942）,1939-1942,原黑龙江省政府参议，投日后任伪省长，在富裕县等地实施“归屯并户”，切断抗联与民众联系
王子衡,伪满黑龙江省省长（1942-1945）,1942-1945,原黑龙江地方官僚，投日后任伪省长，在齐齐哈尔、富裕地区强抓劳工，供应日军军事工程
吕荣寰,伪满黑龙江省省长（1932-1934）,1932-1934,原哈尔滨特别市市长，投日后首任伪黑龙江省长，在齐齐哈尔建立伪政权，镇压学生爱国运动
张景惠,伪满国务总理大臣（1935-1945）,1931-1945,原东北军将领，1931年投敌，虽为伪满中央高官，但其势力范围涵盖黑龙江，对齐齐哈尔、富裕地区伪政权有直接控制
马占山,伪满黑龙江省省长（1932年短暂投日）,1932,原抗日将领，1932年2月一度投日任伪省长，但同年4月反正抗日，其短暂变节行为涉及齐齐哈尔地区
程志远,伪满黑龙江省警备司令,1932-1935,原马占山部旅长，1932年随马占山投日，后任伪警备司令，在齐齐哈尔、富裕一带协助日军围剿抗联
张文铸,伪满第三军管区司令（驻齐齐哈尔）,1933-1945,原东北军军官，投日后驻守齐齐哈尔，指挥伪军多次“讨伐”抗联部队，在富裕县等地烧杀抢掠
王殿忠,伪满富裕县县长（1933-1937）,1933-1937,原富裕县地方士绅，投日后任伪县长，协助日军建立保甲制度，强征军粮，迫害抗日家属
李春润,伪满富裕县县长（1937-1940）,1937-1940,原齐齐哈尔市警察署长，投日后调任富裕县，推行“连坐法”，多次配合日军突袭抗联秘密联络点
赵连璧,伪满富裕县警察署署长,1932-1945,原富裕县民团头目，投日后任伪警察署长，抓捕抗联交通员，严刑逼供，杀害多名抗日群众
刘德权,伪满齐齐哈尔市市长（1932-1935）,1932-1935,原齐齐哈尔商会会长，投日后任伪市长，为日军筹措军费，强征民夫修建军用机场
吴奎昌,伪满齐齐哈尔市市长（1935-1938）,1935-1938,原黑龙江省政府科长，投日后任伪市长，推行“粮谷出荷”，导致富裕地区农民饥荒
杨乃时,伪满齐齐哈尔市市长（1938-1941）,1938-1941,原齐齐哈尔中学教员，投日后任伪市长，建立奴化教育体系，强迫学生参加“勤劳奉仕”
张书翰,伪满齐齐哈尔市市长（1941-1945）,1941-1945,原伪满民政部官员，调任齐齐哈尔后，配合日军“特别治安”行动，在富裕县设立集中营
关成山,伪满富裕县协和会会长,1934-1945,原富裕县地主，投日后任协和会会长，组织汉奸宣传队，煽动民众告发抗联活动
