name,title,activity_period,notable_deeds
张景惠,伪满洲国国务总理大臣,1935-1945,原奉系将领，九一八后投敌，任伪满军政部总长、国务总理，推行殖民政策，镇压抗日力量，其势力涉及黑龙江地区
于琛澂,伪满洲国第一军管区司令官（驻齐齐哈尔）,1932-1945,原东北军将领，叛国投日，在齐齐哈尔地区围剿抗日武装，制造多起惨案，后任伪满治安部大臣
马占山（叛变时期）,伪黑龙江省长（短暂投敌）,1932（短暂）,江桥抗战后一度诈降，任伪黑龙江省长，后反正抗日，但投敌期间为日伪效力，属争议人物
赵仲仁,伪黑龙江省公署参事、齐齐哈尔市长,1932-1945,原黑龙江省议员，积极投靠日军，参与组织伪政权，协助日军统治齐齐哈尔，镇压反满抗日活动
王静修,伪黑龙江省警务厅长,1932-1945,原黑龙江省警察头目，投敌后任伪警务厅长，在齐齐哈尔及昂昂溪地区大肆搜捕抗日分子，残害民众
刘德权,伪昂昂溪警察署署长,1933-1945,在昂昂溪地区为日军效力，镇压铁路工人抗日活动，协助日军抓捕地下抗日人员，罪行累累
张海鹏,伪满热河省长（曾驻黑龙江）,1932-1945,原洮辽镇守使，九一八后投敌，在黑龙江北部及齐齐哈尔外围协助日军清剿抗日义勇军，后调任热河
韩云阶,伪黑龙江省财政厅长、伪满经济部大臣,1932-1945,原黑龙江省实业厅长，投敌后主管伪省财政，为日军搜刮物资，支持殖民经济，在齐齐哈尔地区推行经济统制
丁超,伪满吉林警备司令（曾活动于黑龙江）,1932-1945,原东北军旅长，一度抗日后投敌，在黑龙江东部及齐齐哈尔周边参与围剿抗联，后任伪满要职
邢士廉,伪满军政部顾问（驻齐齐哈尔）,1932-1945,原奉系将领，投日后任伪满军事顾问，协助日军整编伪军，在齐齐哈尔地区训练伪军对抗抗联
