name,title,activity_period,notable_deeds
张景惠,伪满洲国参议府议长、伪满洲国国务总理大臣,1931-1945,辽宁台安人，早年与张作霖结拜，九一八事变后公开投敌，任伪东北行政委员会委员长、伪满洲国参议府议长、军政部总长，后长期任伪国务总理大臣，为伪满政权核心汉奸之一，其伪政权统治覆盖黑龙江、齐齐哈尔地区。
熙洽,伪满洲国财政部总长、伪宫内府大臣,1931-1945,清末宗室，九一八事变后率先在吉林投敌，组织伪吉林省政权，后任伪满洲国财政部总长、宫内府大臣，积极参与伪满政权建设，其影响波及黑龙江地区。
臧式毅,伪满洲国民政部总长、伪参议府议长,1931-1945,辽宁沈阳人，九一八事变后被日军逮捕后投敌，历任伪奉天省长、伪满洲国民政部总长、参议府议长，为伪满政权重要汉奸，其行政体系覆盖东北包括黑龙江。
于芷山,伪满洲国军政部大臣、伪第一军管区司令官,1931-1945,原东北军将领，九一八事变后投敌，任伪奉天警备司令、伪满洲国军政部大臣，统辖伪军参与镇压东北抗日武装，其军事活动范围包括黑龙江、齐齐哈尔地区。
张海鹏,伪满洲国洮辽镇守使、伪热河省警备司令官,1931-1945,原东北军洮辽镇守使，九一八事变后投敌，率部配合日军进攻黑龙江，参与江桥战役对马占山部的作战，后任伪热河省警备司令官，是黑龙江地区早期投敌的伪军头目之一。
程志远,伪满洲国黑龙江省警备司令官、伪第三军管区司令官,1932-1945,原东北军骑兵旅长，江桥抗战后投敌，任伪黑龙江省警备司令官，率伪军配合日军镇压黑龙江抗日武装，其活动直接覆盖齐齐哈尔及甘南周边地区。
王殿忠,伪满洲国黑龙江省警备司令部参谋长、伪军管区司令,1932-1945,原东北军军官，随程志远投敌，任伪黑龙江省警备司令部要职，参与围剿黑龙江抗日联军，活动于齐齐哈尔一带。
韩云阶,伪满洲国黑龙江省长、伪经济部大臣,1932-1945,辽宁金县人，九一八事变后投敌，1932年任伪黑龙江省长，后任伪满洲国经济部大臣，在齐齐哈尔主持伪省政，推行日本殖民经济政策。
孙其昌,伪满洲国黑龙江省长、伪财政部大臣,1932-1945,辽宁辽阳人，九一八事变后投敌，曾任伪黑龙江省长，后任伪满洲国财政部大臣，参与伪满财政体系构建，其任职期间管辖齐齐哈尔地区。
赵仲仁,伪满洲国黑龙江省公署参事官、伪民生部大臣,1932-1945,原东北军军官，投敌后任伪黑龙江省公署参事官，后升任伪满洲国民生部大臣，参与伪满地方政权建设，活动涉及齐齐哈尔。
金名世,伪满洲国黑龙江省长、伪司法部大臣,1934-1945,辽宁人，投敌后历任伪黑龙江省长、伪司法部大臣，在齐齐哈尔推行伪满法令，镇压抗日活动。
于镜涛,伪满洲国黑龙江省长、伪滨江省长,1937-1945,辽宁人，投敌后任伪黑龙江省长，后调任伪滨江省长，在齐齐哈尔等地推行保甲连坐、粮谷出荷等殖民政策。
卢元善,伪满洲国黑龙江省长、伪文教部大臣,1938-1945,辽宁人，投敌后任伪黑龙江省长，后任伪文教部大臣，在齐齐哈尔推行奴化教育，控制文化宣传。
黄富俊,伪满洲国黑龙江省长、伪兴农部大臣,1939-1945,投敌后任伪黑龙江省长，后任伪兴农部大臣，在齐齐哈尔推行农产品统制、粮谷出荷政策，配合日本掠夺东北农业资源。
申振先,伪满洲国黑龙江省长,1940-1945,投敌后任伪黑龙江省长，在齐齐哈尔主持伪省政，推行日本殖民统治政策，镇压抗日力量。
王子衡,伪满洲国黑龙江省公署参事官、伪总务厅参事官,1932-1945,投敌后长期在伪黑龙江省公署任职，参与伪满地方行政与警务，活动于齐齐哈尔地区。
王秉铎,伪满洲国齐齐哈尔市市长,1932-1945,投敌后任伪齐齐哈尔市市长，在齐齐哈尔推行伪满市政管理、保甲制度，配合日军统治。
杨乃时,伪满洲国齐齐哈尔市市长,1930年代-1945,投敌后任伪齐齐哈尔市市长，参与伪满地方政权，推行殖民政策。
刘德权,伪满洲国甘南县县长,1930年代-1945,投敌后任伪甘南县县长，在甘南地区推行保甲连坐、粮谷出荷，配合日军镇压抗日活动。
张书翰,伪满洲国甘南县县长,1930年代-1945,投敌后任伪甘南县县长，在甘南地区执行伪满法令，协助日军征粮、抓劳工。
于尔贵,伪满洲国甘南县警务局长,1930年代-1945,投敌后任伪甘南县警务局长，率伪警察镇压当地抗日群众，配合日军清乡。
李维周,伪满洲国甘南县维持会会长,1931-1933,九一八事变后组织甘南县维持会，迎接日军占领，协助建立伪政权，是甘南地区早期附逆者。
王明远,伪满洲国甘南县保长、伪协和会甘南分会会长,1930年代-1945,在甘南县任保长并兼伪协和会分会会长，推行保甲制度，协助日军征粮、抓劳工，进行奴化宣传。
赵福海,伪满洲国甘南县警察署长,1930年代-1945,投敌后任伪甘南县警察署长，率伪警察配合日军围剿抗日武装，迫害抗日群众。
孙文焕,伪满洲国齐齐哈尔市警察厅长,1930年代-1945,投敌后任伪齐齐哈尔市警察厅长，指挥伪警察镇压抗日活动，推行保甲连坐。
张继武,伪满洲国齐齐哈尔市协和会会长,1930年代-1945,任伪齐齐哈尔市协和会会长，进行奴化宣传，协助日军控制民众思想。
刘振东,伪满洲国齐齐哈尔市商会会长,1930年代-1945,任伪齐齐哈尔市商会会长，协助日军经济统制，为伪满政权筹款筹粮。
陈明远,伪满洲国齐齐哈尔市教育局长,1930年代-1945,任伪齐齐哈尔市教育局长，推行奴化教育，强制使用日语教学，篡改历史。
王化南,伪满洲国黑龙江省协和会会长,1930年代-1945,任伪黑龙江省协和会会长，在齐齐哈尔等地进行殖民宣传，协助日军控制民众。
李铭新,伪满洲国黑龙江省警务厅长,1930年代-1945,任伪黑龙江省警务厅长，在齐齐哈尔指挥伪警察镇压抗日活动，推行保甲制度。
张星桥,伪满洲国黑龙江省实业厅长,1930年代-1945,任伪黑龙江省实业厅长，在齐齐哈尔推行经济统制，协助日本掠夺资源。
吴国栋,伪满洲国黑龙江省民生厅长,1930年代-1945,任伪黑龙江省民生厅长，在齐齐哈尔推行粮谷出荷、劳工征发等政策。
赵锡九,伪满洲国黑龙江省教育厅长,1930年代-1945,任伪黑龙江省教育厅长，在齐齐哈尔推行奴化教育，控制学校。
刘钧,伪满洲国黑龙江省警务厅特务科长,1930年代-1945,任伪黑龙江省警务厅特务科长，在齐齐哈尔地区搜捕抗日人员，破坏抗日组织。
王锡三,伪满洲国甘南县协和会会长,1930年代-1945,任伪甘南县协和会会长，进行奴化宣传，协助日军控制甘南民众。
李春芳,伪满洲国甘南县商会会长,1930年代-1945,任伪甘南县商会会长，协助日军经济统制，为伪政权筹款。
张子明,伪满洲国甘南县教育局长,1930年代-1945,任伪甘南县教育局长，推行奴化教育，强制日语教学。
刘景文,伪满洲国甘南县警务局特务股长,1930年代-1945,任伪甘南县警务局特务股长，在甘南地区搜捕抗日人员，迫害群众。
王德林,伪满洲国甘南县保安团长,1930年代-1945,任伪甘南县保安团长，率伪军配合日军围剿抗日武装，镇压当地反抗。
马占山,伪满洲国黑龙江省长（后反正抗日）,1932,原东北军将领，江桥抗战后一度投降日军任伪黑龙江省长，但不久后反正重新抗日，此处仅列其短暂附逆经历。
