姓名,籍贯,伪任职务,结局
苏体仁,山西五台,伪山西省首任省长，搭建山西全套伪政权，推行治安强化运动，与阎锡山暗地联络,抗战胜利隐匿北平，1948 年病亡，逃脱审判
冯司直,山西平定,伪山西省第二任省长，扩编伪保安队，献粮献铁，搜捕地下抗日人员抖音百科,1945 年被捕，1949 年病死于狱中
王骧,山西寿阳,伪末代山西省省长，兼伪保安司令、新民会会长、剿共委员会主任晋中市人民...,被捕入狱，1953 年狱中病死
苏盛江,山西,伪山西省警务厅长，掌控全省伪警察特务系统，镇压根据地,抗战胜利被捕，判处徒刑，狱中死亡
夏恭,山西大同,伪晋北自治政府主席（雁北十三县），大同伪政权首脑，前清举人,1941 年病亡，逃脱战后审判
崔效骞,山西大同,伪晋北政厅厅长，伪蒙疆体系雁北高官，管理大同工矿掠夺,抗战后被捕，公审处决
武怀让（伪大同省）,山西,伪大同省省长（伪蒙疆后期），管辖雁北地区,被捕判刑，关押期间病亡
李英魁,河北,伪华北绥靖军第 7 集团军司令，驻防山西，多次扫荡晋察冀、晋绥根据地,抗战胜利后国民政府逮捕处决
刘昌义,河北,伪华北绥靖军第十三集团军，驻防晋南，进攻太岳根据地,抗战后被国民党收编，后起义
蔡雄飞,山西离石,原晋绥军军官投敌，伪伪军师长，盘踞晋西，围剿晋绥根据地,1946 年公审枪决
杨诚,山西,伪山西保安第一师师长，太原周边伪军主力，配合日军扫荡,建国后逮捕，镇反处决
赵瑞,山西沁县,原阎锡山部队，投敌任伪山西保安第二师师长，晋东南伪军头目,1945 年被俘，公审枪决
段炳昌,山西,伪山西保安第三师师长，活动晋中、汾阳一带,被捕，镇反时期处决
贾振锋,东北,沁县伪保安大队长，铁杆汉奸，在太岳区烧杀抢掠，残害群众,抗战胜利后公审枪决
聂士庆,山西长治,原国民党长治县长，率全县投敌，伪长治伪政权头目，清剿太行根据地,抗战胜利后逮捕公审处决
杨志玉,山西陵川,原国民党陵川县长，率县府投敌，伪陵川县知事，指挥伪军清乡,陵川收复后审判镇压
王璧,山西长子,伪长子县知事、维持会会长，征粮抓夫，修筑据点炮楼,镇反期间公审枪决
米子祥,山西忻县,伪忻县首任县长，组建维持会，推行保甲连坐，搜捕地下人员,判处 8 年徒刑，服刑后释放
侯如墉,山东,伪华北绥靖军第八旅，盘踞阳泉、昔阳，祸害晋东根据地,抗战后被国民党收编，解放战争中被歼灭
