姓名,籍贯,伪任职务,结局
高冠吾,山东,汪伪江苏省政府主席、维新政府南京市长,抗战后被捕，病死狱中
李士群,浙江遂昌,汪伪江苏省省长、76 号特工头目、清乡委员会秘书长，驻苏州,1943 年被日方毒杀于苏州
陈群,福建闽侯,汪伪江苏省省长，驻苏州,日本投降前夕自杀
任援道,江苏宜兴,汪伪江苏省省长、伪军绥靖军总司令,抗战胜利后逃亡加拿大，客死海外
项致庄,浙江,汪伪江苏省省长,抗战后被国民政府逮捕处决
缪斌,江苏无锡,汪伪立法院副院长、考试院副院长,1946 年枪决，首位被处决汪伪高官
张北生,江苏南通,汪伪江苏省警务处长、民政厅长，苏北、太湖清乡主任,建国后逮捕，1954 年南通执行枪决
顾忠琛,江苏无锡,汪伪监察院院长,抗战结束前病亡，逃脱审判
赵正平,江苏宝山（今上海宝山，战时属江苏）,汪伪教育部部长，推行沦陷区奴化教育,抗战后被捕，狱中自杀
梁鸿志,福建长乐,维新政府行政院院长（南京）、汪伪监察院院长,1946 年苏州抓捕，上海枪决
周学昌,河北,伪南京特别市市长,1946 年被捕处决
汪曼云,浙江杭州,汪伪清乡委员会副秘书长，常驻苏州,战后判处有期徒刑
熊剑东,浙江新昌,伪军将领，长期在江苏作战活动,被军统策反，后续战死
