县份,姓名,籍贯,伪职与主要罪行,结局
正定县,吴赞周,正定,正定维持会会长、首任伪正定县知事，后升任伪河北省省长、真定道尹，河北头号大汉奸，统筹治安强化运动、五一大扫荡，强征民夫修炮楼封锁沟。,北平解放后判无期徒刑，1949 年狱中病亡
,郝寿恒,正定,正定维持会核心成员，伪县公署科长，新民会骨干，协助吴赞周推行奴化教育、保甲连坐抖音百科。,抗战胜利后逮捕判刑
,曹敬庵,正定,原旧警察局长，投敌任伪正定警察局局长，搜捕地下党员，配合日军扫荡。,1946 年汉奸罪判处徒刑
,高砚然,不详,继任伪正定县知事，多次写信诱降我方游击队长甄凤山，指挥伪警备队下乡 “清剿”。,抗战胜利归案审判
,王兰田,正定,伪正定警备大队长，伪军主力头目，多次配合日军扫荡正定、藁城边区。,解放后镇反公审枪决
井陉县,王景岳,井陉长岗村,维持会会长，唯一一任伪井陉县长，兼新民会会长；全县修筑 60 余座炮楼、200 余里封锁沟，捕杀大批抗日干部，掠夺矿产土地；日本投降后摇身投靠国民党，任先遣第八旅旅长。,潜逃甘肃天水，1951 年抓捕押回井陉，公审处决
,赵守伦,井陉,宪兵队密探大头目，长期刺探太行根据地情报，残害地方干部；日降后伪装国民党员企图脱罪。,镇反时期公审枪决
,杨金彪,井陉,伪特务队长，屠杀抗日军民；日军投降后改头换面充当国民党县党部书记长。,解放后清算处决
,段纪福、段纪禄,井陉山区,皇协军少校，兄弟匪首，盘踞井陉西部山区，烧杀抢掠村庄。,1944 年被太行军区部队歼灭，二人被俘处决
平山县,韩星垣,平山,首任伪平山县县长，组建伪县公署、伪警察局、新民会；强征粮款民夫，配合日军扫荡平山根据地。,日本投降后逮捕公审惩处
,李惠忱,不详,第二任伪平山县县长（1941‑1944），执行治安强化运动，策动根据地人员叛变。,战后归案判处长期徒刑
,李桂芳,平山县城,青帮头子，新民会骨干；多次向日军告密，致使我方夜袭平山县城计划泄露，造成重大损失河北省老区...。,抗战胜利后镇压处决
,刘德山,平山,伪平山警备大队长，伪军头目，驻守平山县城及南甸据点，频繁进山扫荡。,1945 年县城解放被俘，判处死刑
获鹿县（今鹿泉）,葛子久,获鹿,获鹿治安维持会会长、第一任伪获鹿县知事，组建伪县公署，推行保甲征派物资；卷入内部案受日军反复传讯施压。,1941 年在石门受审后自杀身亡
,朱能云,不详,第二任伪获鹿县知事（1940‑1943），强化物资统制，管控山尹村、南铜冶各个据点。,战后汉奸罪判处徒刑
,宋易之,不详,末代伪获鹿县知事（1943‑1945.8），配合治安强化运动。,1946 年江苏高等法院判处有期徒刑
,王会斋、刘一峰,获鹿,维持会核心委员，参与组建伪政权，协助日军摊派粮款。,抗战胜利逮捕管制
,李老栓,获鹿山区,山区维持会长，专门向炮楼递送游击队情报。,1943 年太行锄奸队就地处决
元氏县,许陟九,元氏,伪保安大队首任大队长，500 人伪军主力，捕杀共产党员、抗日群众，多次袭击游击队。,被伪县长王倜设计排挤，内部火拼后逃亡，解放后抓捕处决石家庄新闻...
,魏永和,元氏,继任伪保安大队长，元氏本地伪军最高军事头目，盘踞元氏县城、元氏车站据点。,元氏解放被俘，公审枪决石家庄新闻...
,王倜,不详,后期伪元氏县长，利用职务挑拨伪军头目内讧，分化伪保安队，执行日伪各项政令。,日本投降后逮捕判刑石家庄新闻...
,张庆林,元氏,伪元氏警察局侦缉队长，特务头目，在元氏车站抓捕来往交通员。,1946 年公审处死
赵县,李树三,不详,伪赵县县长；日本投降后投靠国民党，充当特派员，收拢赵县、宁晋伪军残部组建第五纵队继续进攻解放区河北省老区...。,1946 年被俘，汉奸罪判处死刑
,郭炭块,赵县,伪赵县联队司令，赵县伪军最高头目，城内驻守 800 余伪军；1945 年 8 月拒绝投降，雨夜弃城潜逃。,1953 年抓获归案判处死刑石家庄日报
,周洛秉,赵县,伪赵县警察局局长，配合郭炭块维持城防，抓捕抗日人员。,赵县解放被俘，判处长期监禁
