区域,姓名,籍贯,伪职,主要罪行,结局
阳泉城区‑平定（伪平定县公署）,王荫椿,平定,伪平定县知事（伪县长），1943 伪县公署迁阳泉桥北街,组建伪县公署、伪公安局、新民会；推行保甲十家连坐；配合治安强化运动，征粮抓劳工，为煤矿、各据点筹措物资，镇压抗日活动。,1945 日本投降后逮捕审判
,张杰,阳泉,伪阳泉镇街长,管理阳泉集镇，摊派粮款，协助日军管控阳泉矿区与铁路。,战后汉奸罪判刑
,史贤臣,平定,原我方公安人员，叛变后任阳泉宪兵队特务阳泉日报数...,1941 大扫荡中投敌；带领日伪军搜捕村干部、地下人员，破坏抗日基层组织，劫掠群众财物。,武工队潜入家中处决阳泉日报数...
,郭健,平定,白泉据点维持会长阳泉日报数...,盘踞白泉据点，搜集根据地情报，抓捕抗日积极分子，摊派粮款，鱼肉乡民。,1943 武工队化装潜入据点将其击毙阳泉日报数...
,郜琅,平定,伪阳泉警察所特务头目,侦查地下抗日人员，抓捕刑讯爱国群众，发展乡村密探。,被武工队锄奸处决
,彭天柱,平定,伪警备队第二中队长，驻守河底据点,带队下乡扫荡，制造大西庄惨案，残害地道内避难百姓。,解放后公审枪决
盂县伪政权,宋钦,不详,盂县首任伪知事（伪县长）,搭建盂县伪政权，建立伪警备队、新民会。任职仅数月。,调走，史料下落缺失
,李祖龄,不详,伪盂县知事,盂县早期伪主官，建立完整伪行政体系，推行保甲、苛捐杂税。,战后逮捕判刑阳泉市人大...
,解恒绪,辽宁,伪盂县知事（1942‑1943）,编组保甲，强征民夫挖封锁沟，推行囚笼政策，多次配合日军扫荡，查禁法币。,抗战胜利后逮捕重判
,高邦隆、王介民、徐度民、柳方胜,不详,历任伪盂县知事,接续执行日伪政令，征粮抓丁，配合治安强化。,战后全部逮捕判刑阳泉市人大...
,刘国翰,盂县,伪盂县特务队队长,专门搜集根据地情报，告密抓捕抗日干部群众。,解放后镇压处决
,李景友,盂县,伪先锋队队长,带队下乡清乡扫荡，抓捕地方干部，掠夺粮食牲畜。,抗战结束后清算处决
,邓洪恩,盂县,伪盂东警备队长,驻守盂县东部据点，配合日军袭扰抗日根据地。,解放后公审枪决
