姓名,籍贯,伪职,主要罪行,结局
郭宝森,不详,伪抚顺市首任副市长（华人最高职位）,伪市公署二把手，协助日本市长推行保甲、劳工强征、物资统制，配合对煤矿工人镇压。,抗战胜利后以汉奸罪逮捕判刑。
徐渐九,不详,伪抚顺市副市长,接续伪市政，执行日伪战时物资搜刮，管控城市户口、劳工摊派。,光复后逮捕判刑。
胡承禄,不详,伪抚顺市副市长,协助日伪强化治安，推行奴化宣传。,战后汉奸罪惩处。
周铸鑫,不详,伪抚顺末代副市长,日伪末期维持伪市政。,日本投降后被捕判刑。
夏宜,不详,伪抚顺县早期县长,九一八后投敌，组建抚顺县伪公署；平顶山惨案发生时，向伪奉天省报告情况，配合日军统治。,抗战胜利逮捕，汉奸罪判刑。
赵仲达,不详,伪抚顺县后期县长,推行集家归屯（集团部落），拆毁村庄，逼迫百姓入部落，制造大量难民，配合围剿抗联。,战后逮捕判刑。
王庆双,不详,伪满抚顺宪兵分团华人团长,指挥华人特务密探网络，大肆搜捕工人、地下抗日人员，刑讯迫害爱国志士，血债累累。,1945 年抚顺欢乐园万人公审，当场枪决。
张文溪,抚顺郑家屯,郑家屯伪警察署署长,死心投靠日军，带领伪警察四处扫荡，抓捕抗联交通员，多次制造村庄惨案。,抗联战斗中被击毙。
庄洪业,抚顺,伪警察署翻译特务,充当日军翻译，告密、指认抗日群众，参与抓捕迫害。,抗战时期被我方锄奸处决。
蒋文成,抚顺望花,伪望花街长,强征劳工、摊派物资；日本投降后私藏武器，勾结国民党地下组织，等待国民党接收。,1945 年群众公审处死。
牟金义,抚顺龙凤矿,龙凤矿大把头（汉奸大柜）,依附日伪，开设牟家大柜，豢养大批爪牙，残酷压榨矿工，迫害反抗工人；投降后摇身充当国民党警察分局长。,解放后公审枪决。
孙世忠,抚顺万达屋矿,煤矿汉奸把头,压榨矿工，迫害敢于反抗工人，协助日伪监视煤矿工人。,工人斗争大会公审处决。
朱玉升,抚顺发电厂,伪生计所头目,克扣工人口粮，发放霉变粮食；侦查迫害工人中的反日分子；投降后继续把持电厂会计。,反奸清算逮捕判刑。
马奎山,抚顺发电厂,伪生计所骨干,配合朱玉升盘剥工人，管制物资配给，告密迫害工人。,反奸清算逮捕判刑。
王玉祺,抚顺东社,汉奸地主，伪地方势力,为抚顺炭矿专供坑木；勾结日伪，欺压乡里，私藏武器，勾结国民党残余。,1946 东社三千群众大会公审枪决。
谭英多,清原,伪清原县末代县长,建立清原伪政权，推行集团部落，围剿东边道抗联；投降后勾结国民党继续作恶。,公审枪决。
吕荣寰,抚顺,伪满实业部、民生部大臣，驻汪伪大使,抚顺籍，伪满中央高官；参与伪满建国，主导经济掠夺，压榨东北工矿粮食资源。,苏军逮捕押往西伯利亚，1946 年病死苏联狱中。
张焕相,抚顺,伪满司法部大臣、参议府参议,抚顺籍，原奉系将领，投敌出任伪满高官，协助镇压东北反日力量。,1945 被捕，关押抚顺战犯管理所，后病死。
