姓名,伪职 / 身份,活动地区,核心罪行,最终结局
丁紫垣（丁中立，丁七爷）,伪定海联合自治会首任会长,定海城区,定海老牌士绅，80 岁出任伪会长，搭建日伪傀儡统治，推行良民证，为日军征粮征夫，协助管控城乡抖音百科。,1940‑03‑20，被东区抗日警察队在帅旗弄铁棍击毙浙江省地方...。
陈二梅,伪定海自治会最高顾问,定海县城,沦陷初期核心汉奸，参与组建临时治安维持会，为日军出谋划策，拉拢地方士绅附逆舟山日报。,抗战胜利后汉奸审判逮捕判刑。
陈季安,伪定海自治会副会长、继任会长，城道特别市市长,定海城区,协助丁紫垣处理伪政务，管控城区市面，搜刮物资资敌舟山日报。,1940‑03‑09 遭抗日武装袭击身受重伤；后短暂接任会长，抗战胜利后逮捕惩处。
李继善,伪定海自治会后期会长,定海县城,陈季安之后接任伪会长，主持伪政府直至抗战末期。,1945 年 6 月日军败亡前夕逃往上海，战后被缉捕归案判刑舟山日报。
沈坤权,伪定海自治会公安科长,定海,执掌伪公安，组建伪警察，搜捕地下抗日人员，推行保甲制度舟山日报。,抗战胜利后汉奸清算判刑。
陈松龄,伪定海自治会财政科长,定海城区,经济汉奸，掌管伪财政，搜刮粮食渔盐，向商户摊派苛捐资敌舟山日报。,战后逮捕判刑。
王葵昌,伪定海自治会司法科长,定海,负责伪司法，罗织罪名迫害爱国百姓，审理所谓 “通敌” 案件舟山日报。,汉奸审判判处有期徒刑。
林一,日伪沈家门特务队长,普陀沈家门,地痞投敌，特务组长升特务队长；多次带领日军下乡扫荡，枪杀游击队员与群众，焚烧民房浙江省地方...。,抗战时期被抗日武装锄奸处决。
王继能,伪军舟山保安总队主力司令,岱山、登步、普陀沿海,原地方武装头目投敌，手握大批海岛伪军；大鱼山战斗主力伪军，配合日军围剿东海游击武装，海岛烧杀劫掠岱山新闻网。,抗战胜利后被国民党收编，后清算伏法。
张阿龙（绰号沙山龙）,伪军大洋山独立中队副分队长,大鱼山、岱山,表面假意接触我方，暗中窥探军情，连夜向岱山日军告密，直接引发大鱼山血战，造成我方重大伤亡岱山新闻网。,抗战胜利后捕获公审处决。
王才荣,大鱼山伪保长,大鱼山岛,陪同张阿龙刺探情报，协助向日军告密，祸害岛上渔民群众岱山新闻网。,战后群众公审惩处。
王品荣（王宝龙）,伪黄龙、泗礁自治会会长,嵊泗列岛（泗礁、黄龙）,土匪出身投敌，占岛为王；借渔检名义发行航行证，大肆盘剥渔船渔民，搜刮鸦片钱财，扩充武装割据海岛。,抗战胜利后逮捕审判。
潘招财,伪嵊山自治会会长,嵊山渔场,海岛大匪首，接受日伪委任；设立海上检查船，在洋面敲诈渔船，为日军搜集海上航运情报嵊泗新闻网。,抗战胜利后被缉拿归案。
胡栋林（吴东林）,伪长涂维持会会长、伪高亭区区长,岱山长涂、高亭,海岛伪区长，推行伪保甲，盘剥渔盐，战后还冒领东极渔民救助英军战俘的荣誉，被报纸公开揭穿。,汉奸罪判刑。
李思镜,日伪定东指挥,岱山本岛,日伪海岛军事特务头目，统管岱山一带伪军特务，大鱼山战斗中负责调遣日伪军部队围剿我方指战员岱山新闻网。,抗战胜利后逮捕法办。
陆日初,日伪 “浙江外海宣抚使”,浙东外海（嵊泗洋面）,日军指派的海上招抚特使，乘坐军舰四处游说海岛海盗、地方武装投降日伪。,被王继能诱捕，送交抗日政府处决嵊泗新闻网。
贺平,伪舟山保安总队贺平独立中队头目,岱山沿海,伪军中队主官，追随王继能，参与大鱼山战斗，在岱山各海岛据点驻防，骚扰沿海乡村渔民岱山新闻网。,抗战胜利后被俘惩处。
