姓名,籍贯,主要伪职（苏州）,结局
陈则民,江苏苏州,沦陷初期苏州治安维持会会长，伪维新政府首任伪江苏省省长，霸占拙政园作伪省府，主导苏南伪政权早期建设。,抗战胜利逮捕，判处无期徒刑，后病死狱中《国家人文...
高冠吾,上海崇明,汪伪伪江苏省政府主席（省长），驻苏州，统管江苏沦陷区政务。后调任安徽、江西伪省长。,抗战胜利后隐匿，1953 年病死于济南，逃脱死刑抖音百科
李士群,浙江遂昌,汪伪伪江苏省省长、清乡委员会秘书长（驻苏州），76 号特工总部副主任；以苏州为大本营主持苏南清乡，残酷围剿抗日武装。,1943 年在苏州被日方毒杀身亡，未受战后审判
陈群,福建闽侯,李士群死后继任伪江苏省省长，驻苏州，延续清乡政策，搜刮物资资敌。,日本投降前夕服毒自杀于苏州家中
任援道,江苏宜兴,末代伪江苏省省长，汪伪第一方面军总司令，掌控苏南伪军武装。,抗战胜利被国民政府收编，后潜逃加拿大，客死海外
郭曾基,江苏,伪江苏省政府委员、伪吴县知事（吴县即苏州城），推行保甲，为日军征粮派夫。,1940 年被抗日锄奸团刺杀于苏州司前街三多桥
马宗豫,不详,伪吴县县长，郭曾基遇刺后继任，强化城内伪行政体系。,抗战胜利捕获，汉奸罪判处徒刑
陆翥双,不详,伪吴县县长，配合清乡运动，下乡摊派苛捐。,战后逮捕，判处重刑关押苏州市地方...
蔡宗熙,河北大兴,伪吴县县长，兼任保安、自卫团头目，推行奴化教育、封锁管制。,抗战胜利被捕判刑苏州市地方...
沈靖华,不详,伪吴县县长，鼓吹建设 “模范沦陷县”，大力执行清乡政策。,战后汉奸罪审判，判处长期监禁苏州市地方...
陈展如,不详,末代伪吴县县长，日本投降前 5 个月到任。,1946 年判处有期徒刑十二年苏州市地方...
黄毅斋,不详,汪伪苏州特工站（祥符寺巷 90 号魔窟）站长，苏州特务头目，抓捕、残害地下抗日人员，《孤舟》周知非原型。,抗战胜利被捕，判处死刑执行枪决《国家人文...
唐惠民,江苏,伪江苏省政府秘书长，李士群核心幕僚，汪伪 76 号元老，辅佐处理全省伪政务。,抗战胜利被捕，病死狱中
汪北鸥,江苏苏州,伪《江苏日报》社长，汪伪在苏州的核心喉舌，大肆刊登亲日投降言论，宣传清乡。,战后汉奸罪判处徒刑
潘元恺,苏州,伪吴县警察局局长，掌控伪警察，配合 90 号特工站搜捕爱国人士。,光复后公审枪决
