姓名,籍贯,伪任职务,结局
张景惠,辽宁台安,伪满洲国国务总理大臣、协和会会长，伪满二号人物，九一八后率先投敌,苏军俘获，关押抚顺战犯管理所，1959 年病亡狱中
臧式毅,辽宁沈阳,伪奉天省首任省长、伪满民政部大臣、参议府议长；母殉国劝降不从仍投敌，推行保甲、集团部落镇压义勇军,苏军俘虏引渡回国，1956 年病死于抚顺战犯管理所
袁金铠,辽宁辽阳,奉天治安维持会委员长、伪满尚书府大臣，沈阳最早附逆高层，协助日军接收沈阳政权,1945 年被捕，保外就医，1947 年病死
赵欣伯,辽宁沈阳,伪奉天市市长，伪满法制核心，炮制伪满法律，早期奉天维持会骨干,抗战胜利后被捕，关押期间病亡
于芷山,辽宁台安,伪奉天省警备司令、伪军政部大臣、治安部大臣，奉天伪军最高头目，围剿东北抗日义勇军中国新闻网,北平解放抓捕，关押抚顺战犯管理所，1951 年狱中病死
邢士廉,辽宁沈阳,伪满治安部大臣、第 4 军管区司令官，伪满上将，镇压东北抗联,苏军俘获，抚顺战犯管理所，1954 年病亡狱中
张海鹏,辽宁盖州,伪边境保安司令，伪热河省长，奉系元老，九一八即投敌，参与江桥作战进攻马占山,1949 年后逮捕，1951 年镇反处决
阮振铎,辽宁铁岭,伪奉天省省长、伪满外交部大臣，伪满后期高官,抚顺战犯管理所关押，1973 年特赦释放
王庆璋,辽宁新宾,伪奉天市（沈阳）市长、伪满邮政总局局长,1950 年逮捕，1958 年病亡抚顺狱中
丁超,辽宁新宾,先抗日后投敌，伪满通化省省长，围剿抗日武装,苏军俘获，1950 年病亡抚顺战犯管理所
张本政,辽宁旅顺（大连）,大连大商人，关东厅参事，捐献巨资、飞机支援日军侵华，为日军提供航运运力抖音百科,1951 年大连公审，判处死刑枪决
刘雨田,辽宁普兰店（大连）,老牌汉奸，变卖祖产捐飞机给日军，长期充当日本情报顾问,1951 年 81 岁被捕，公审枪决
凌印清,辽宁海城,九一八后伪东北民众自卫军总司令，辽西伪军头目，进攻锦州方向抗日武装,1931 年被义勇军擒获就地枪决
张学成,辽宁海城,张学良堂弟，伪辽西保安司令，收拢土匪伪军袭扰盘山一带,1931 年被东北军部队击毙
