惨案名称,发生地点,涉案人数,涉案人员,涉案人员详情,典型罪行摘要
反共誓约惨案,河北 沧州,2,王直平、李弼臣,王直平 - 伪任丘县县长；策划臭名昭著的反共誓约惨案；逼迫群众宣誓反共；残害大量平民百姓。；李弼臣(河北沧州) - 伪任丘警备司令；铁杆汉奸；参与反共誓约惨案；四处烧杀抢掠。,伪职：伪任丘县县长；策划臭名昭著的反共誓约惨案，逼迫群众宣誓反共，残害大量平民百姓。；结局：1945 年公审判处死刑
杨湾惨案,安徽 安庆,2,周昆贤、余昆山,周昆贤(安徽安庆) - 望江县杨湾汉奸向导；余昆山(安徽安庆) - 杨湾汉奸,伪职：望江县杨湾汉奸向导；罪行：带领日军汽艇扫荡杨湾，直接酿成杨湾惨案，52 名平民惨遭杀害，村庄焚毁，为日军打探乡间抗日武装踪迹望江新闻网。；结局：抗战胜利公审处决。
黄土桥惨案,江苏 淮安,2,高必发、沙贵章,高必发(江苏淮安) - 伪淮安县警察大队长；沙贵章(江苏淮安) - 伪淮安县维持会会长、伪县长,伪职：伪淮安县警察大队长；罪行：沙贵章副手，执掌伪警察武装，参与黄土桥惨案，下乡扫荡，抓捕酷刑迫害爱国群众。；结局：抗战胜利后公审枪决。
万章惨案,山西 晋城,1,韩维屏,韩维屏(山西晋城) - 原国民党二区区长；日伪咨议员,伪职：原国民党二区区长，日伪咨议员；罪行：被峰头据点抓捕随即叛变；出卖万章村民兵情报，直接酿成万章惨案，多名民兵牺牲。；结局：万章村公审就地枪决
三十二烈士惨案,黑龙江 大庆,1,张保安,张保安(黑龙江大庆) - 抗日救国会叛徒,伪职：抗日救国会叛徒；罪行：出卖三肇地下党组织，泄露地下机关地点、救国会人员名册，直接引发三肇大搜捕，造成三十二烈士惨案，大批地下党员被捕牺牲抖音百科。；结局：解放后镇压反革命公审处决。
下五家子惨案,,1,杨敬之,杨敬之 - 伪锦西县伪县长,伪职：伪锦西县伪县长；罪行：伪满正式建制后的锦西县主官；推行保甲连坐，强征劳工粮食，配合日伪对虹螺岘、缸窑岭山区义勇军进行讨伐，参与下五家子惨案相关治安部署。；结局：光复后汉奸罪判刑。
东张万人坑惨案,,1,王绍棠,王绍棠 - 伪浮山县县长,伪职：伪浮山县县长；罪行：建立浮山伪政权，设立新民会、剿共委员会，制造东张万人坑惨案，残害大量百姓临汾新闻网。；结局：县城收复后逮捕判刑
亳二区惨案,安徽 亳州,1,胡金山,胡金山(安徽亳州) - 白枪会头目；勾结日伪,伪职：白枪会头目，勾结日伪；罪行：地方会道门武装，勾结日伪发动暴乱，制造亳二区惨案，杀害 9 名党员干部，抓捕二十余名革命人员。；结局：暴乱被镇压，捕获后公审枪决。
令公庙惨案,江西 南昌,1,章伏龙,章伏龙(江西南昌) - 汉奸向导,伪职：汉奸向导；罪行：1942年令公庙大屠杀带路元凶，带领日军制造860余人惨死的惨案；结局：战后被依法处决
十八人被杀惨案,安徽 池州,1,李少白,李少白(安徽池州) - 贵池伪特务,伪职：贵池伪特务；罪行：和章荣高互相争斗，肆意株连平民，酿成十八人被杀惨案。；结局：肃奸逮捕，判处重刑。
厚和大惨案,内蒙古 呼和浩特,1,魏铭,魏铭(内蒙古呼和浩特) - 学生叛徒；1940 告密出卖绥蒙各界抗日救国会；制造厚和大惨案；190 多人被捕；百余人惨死；地下组织遭到毁灭性破坏；出卖刘洪雄等革命志士。,伪职：学生叛徒；1940 告密出卖绥蒙各界抗日救国会，制造厚和大惨案，190 多人被捕，百余人惨死，地下组织遭到毁灭性破坏，出卖刘洪雄等革命志士。；结局：抗战胜利后公审枪决
后马家村惨案,山西 吕梁,1,张发科,张发科(山西吕梁) - 伪离石警察所长,伪职：伪离石警察所长；罪行：掌管伪警察，指挥便衣，严刑拷打被捕抗日人员，递送情报配合进山扫荡，制造后马家村惨案。；结局：解放后公审枪决
